OBJECTID,DESCRIPTION,ID,MP13019A_B,MP13019A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1116,94109 (San Francisco),94109,16461,192,192,4337500.0,12226.276484406271,1756054002881,Synapse54,1756054002881,Synapse54
1117,94110 (San Francisco),94110,20495,210,210,9926250.0,15761.280357799515,1756054002881,Synapse54,1756054002881,Synapse54
1118,94111 (San Francisco),94111,1396,170,170,2052500.0,21499.715342043226,1756054002881,Synapse54,1756054002881,Synapse54
1119,94112 (San Francisco),94112,23152,210,210,13560000.0,21836.430205080735,1756054002881,Synapse54,1756054002881,Synapse54
1120,94114 (San Francisco),94114,11167,221,221,6152500.0,15585.743884126407,1756054002881,Synapse54,1756054002881,Synapse54
1121,94115 (San Francisco),94115,9933,198,198,4593750.0,9499.870373762536,1756054002881,Synapse54,1756054002881,Synapse54
1122,94116 (San Francisco),94116,13474,219,219,10728750.0,16617.374336959932,1756054002881,Synapse54,1756054002881,Synapse54
1123,94117 (San Francisco),94117,12748,213,213,5186250.0,12370.72036346032,1756054002881,Synapse54,1756054002881,Synapse54
1124,94118 (San Francisco),94118,12378,214,214,7783750.0,16869.527646709972,1756054002881,Synapse54,1756054002881,Synapse54
1125,94121 (San Francisco),94121,12049,202,202,9118750.0,13818.868765697225,1756054002881,Synapse54,1756054002881,Synapse54
1126,94122 (San Francisco),94122,17059,214,214,16440000.0,24888.906411256063,1756054002881,Synapse54,1756054002881,Synapse54
1127,94123 (San Francisco),94123,9163,222,222,4768750.0,14308.513841967713,1756054002881,Synapse54,1756054002881,Synapse54
1128,94124 (San Francisco),94124,8763,173,173,20113750.0,38825.40038506986,1756054002881,Synapse54,1756054002881,Synapse54
1129,94127 (San Francisco),94127,5006,202,202,7053750.0,12989.060638203213,1756054002881,Synapse54,1756054002881,Synapse54
1130,94128 (San Francisco),94128,4,230,230,13212500.0,20708.836208236724,1756054002881,Synapse54,1756054002881,Synapse54
1131,94129 (San Francisco),94129,1107,222,222,9925000.0,13970.887973356286,1756054002881,Synapse54,1756054002881,Synapse54
1132,94130 (San Francisco),94130,961,189,189,3668750.0,12167.771423394695,1756054002881,Synapse54,1756054002881,Synapse54
1133,94131 (San Francisco),94131,8471,208,208,8430000.0,22851.302882552616,1756054002881,Synapse54,1756054002881,Synapse54
1134,94132 (San Francisco),94132,7506,189,189,17221250.0,26772.469014566315,1756054002881,Synapse54,1756054002881,Synapse54
1135,94133 (San Francisco),94133,7073,180,180,3040407.7265625,14478.942539741653,1756054002881,Synapse54,1756054002881,Synapse54
1136,94134 (San Francisco),94134,11701,202,202,10835000.0,18820.62964002423,1756054002881,Synapse54,1756054002881,Synapse54
1137,94143 (San Francisco),94143,319,222,222,536250.0,3878.1449169759803,1756054002881,Synapse54,1756054002881,Synapse54
1138,94158 (San Francisco),94158,3059,210,210,2280000.0,8416.967526069357,1756054002881,Synapse54,1756054002881,Synapse54
1139,94301 (Palo Alto),94301,4650,192,192,10041250.0,17961.11572829651,1756054002881,Synapse54,1756054002881,Synapse54
1140,94303 (Palo Alto),94303,10470,167,167,34867405.6953125,45564.67650592285,1756054002881,Synapse54,1756054002881,Synapse54
1141,94304 (Palo Alto),94304,1365,215,215,29527500.0,52969.670554824326,1756054002881,Synapse54,1756054002881,Synapse54
1142,94305 (Stanford),94305,4111,120,120,10930000.0,17826.29766870424,1756054002881,Synapse54,1756054002881,Synapse54
1143,94306 (Palo Alto),94306,7785,203,203,15302500.0,30966.904690271534,1756054002881,Synapse54,1756054002881,Synapse54
1144,94401 (San Mateo),94401,9429,192,192,12127500.0,24983.82703677535,1756054002881,Synapse54,1756054002881,Synapse54
1145,94402 (San Mateo),94402,7655,201,201,20608750.0,48384.41321934023,1756054002881,Synapse54,1756054002881,Synapse54
1146,94403 (San Mateo),94403,13655,209,209,22713750.0,30404.767774132706,1756054002881,Synapse54,1756054002881,Synapse54
1147,94404 (San Mateo),94404,10914,204,204,22295000.0,26468.512462344035,1756054002881,Synapse54,1756054002881,Synapse54
1148,94501 (Alameda),94501,18268,195,195,33188810.67578125,45211.55098984993,1756054002881,Synapse54,1756054002881,Synapse54
1149,94502 (Alameda),94502,3685,195,195,10411718.75,14652.758973801414,1756054002881,Synapse54,1756054002881,Synapse54
1150,94503 (American Canyon),94503,4877,161,161,127965000.0,70724.60289072857,1756054002881,Synapse54,1756054002881,Synapse54
1151,94505 (Discovery Bay),94505,2571,126,126,98571250.0,69893.80120983238,1756054002881,Synapse54,1756054002881,Synapse54
1152,94506 (Danville),94506,6351,185,185,83800000.0,54741.633910099314,1756054002881,Synapse54,1756054002881,Synapse54
1153,94507 (Alamo),94507,4141,194,194,58410000.0,58750.51583159273,1756054002881,Synapse54,1756054002881,Synapse54
1154,94508 (Angwin),94508,912,189,189,162776250.0,76158.21887973242,1756054002881,Synapse54,1756054002881,Synapse54
1155,94509 (Antioch),94509,12560,135,135,84257500.0,55978.3689032561,1756054002881,Synapse54,1756054002881,Synapse54
1156,94510 (Benicia),94510,7562,199,199,128958750.0,71730.45571023188,1756054002881,Synapse54,1756054002881,Synapse54
