OBJECTID,DESCRIPTION,ID,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
781,92127 (San Diego),92127,14059,26.73,26.73,83867500.0,47997.98998967557,1756054193073,Synapse54,1756054193073,Synapse54
782,92128 (San Diego),92128,8736,18.12,18.12,43265000.0,46530.56808066494,1756054193073,Synapse54,1756054193073,Synapse54
783,92129 (San Diego),92129,12029,22.44,22.44,49892500.0,38959.98011529699,1756054193073,Synapse54,1756054193073,Synapse54
784,92130 (San Diego),92130,16114,25.42,25.42,71188750.0,46191.327209128154,1756054193073,Synapse54,1756054193073,Synapse54
785,92131 (San Diego),92131,8488,23.15,23.15,51802500.0,48468.016179833794,1756054193073,Synapse54,1756054193073,Synapse54
786,92134 (San Diego),92134,326,86.24,86.24,857500.0,4846.759392252197,1756054193073,Synapse54,1756054193073,Synapse54
787,92135 (San Diego),92135,1924,82.61,82.61,11916818.1796875,21375.370722001364,1756054193073,Synapse54,1756054193073,Synapse54
788,92136 (San Diego),92136,5641,69.55,69.55,4217500.0,20266.08186058066,1756054193073,Synapse54,1756054193073,Synapse54
789,92139 (San Diego),92139,8007,23.42,23.42,13055000.0,17717.04625247994,1756054193073,Synapse54,1756054193073,Synapse54
790,92140 (San Diego),92140,1999,96.34,96.34,2190000.0,6728.356665717072,1756054193073,Synapse54,1756054193073,Synapse54
791,92145 (San Diego),92145,4848,81.81,81.81,73777916.66015625,57882.406537794865,1756054193073,Synapse54,1756054193073,Synapse54
792,92147 (San Diego),92147,107,41.63,41.63,291250.0,2821.4495641894096,1756054193073,Synapse54,1756054193073,Synapse54
793,92152 (San Diego),92152,5,62.5,62.5,4297500.0,22403.983924341494,1756054193073,Synapse54,1756054193073,Synapse54
794,92154 (San Diego),92154,20730,23.82,23.82,137338750.0,92148.54362376213,1756054193073,Synapse54,1756054193073,Synapse54
795,92155 (San Diego),92155,305,60.52,60.52,802500.0,4878.1073303889525,1756054193073,Synapse54,1756054193073,Synapse54
