OBJECTID,DESCRIPTION,ID,MP12207A_B,MP12207A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1401,95257 (Wilseyville),95257,14,60,60,60485000.0,77827.94128059354,1756053984730,Synapse54,1756053984730,Synapse54
1402,95258 (Woodbridge),95258,143,75,75,8351250.0,20242.487573047187,1756053984730,Synapse54,1756053984730,Synapse54
1403,95301 (Atwater),95301,2429,132,132,291155000.0,132804.03679677495,1756053984730,Synapse54,1756053984730,Synapse54
1404,95303 (Ballico),95303,58,158,158,146843750.0,76915.4424217943,1756053984730,Synapse54,1756053984730,Synapse54
1405,95304 (Tracy),95304,593,74,74,500736250.0,171288.70956865003,1756053984730,Synapse54,1756053984730,Synapse54
1406,95305 (Big Oak Flat),95305,4,58,58,1991250.0,6710.002559287436,1756053984730,Synapse54,1756053984730,Synapse54
1407,95306 (Catheys Valley),95306,31,62,62,650480000.0,165081.4462863126,1756053984730,Synapse54,1756053984730,Synapse54
1408,95307 (Ceres),95307,3183,154,154,141173750.0,75333.0328782667,1756053984730,Synapse54,1756053984730,Synapse54
1409,95310 (Columbia),95310,60,72,72,57846250.0,53230.71254872134,1756053984730,Synapse54,1756053984730,Synapse54
1410,95311 (Coulterville),95311,62,57,57,841017500.0,227994.2071692544,1756053984730,Synapse54,1756053984730,Synapse54
1411,95312 (Cressey),95312,11,160,160,421250.0,3513.8262974473564,1756053984730,Synapse54,1756053984730,Synapse54
1412,95313 (Crows Landing),95313,83,161,161,156358750.0,104589.72491702215,1756053984730,Synapse54,1756053984730,Synapse54
1413,95315 (Delhi),95315,899,158,158,80728750.0,48929.370470993,1756053984730,Synapse54,1756053984730,Synapse54
1414,95316 (Denair),95316,304,89,89,269633750.0,103518.0673122292,1756053984730,Synapse54,1756053984730,Synapse54
1415,95317 (El Nido),95317,49,153,153,204536250.0,95387.40633195481,1756053984730,Synapse54,1756053984730,Synapse54
1416,95318 (El Portal),95318,22,112,112,219101250.0,128972.32733327798,1756053984730,Synapse54,1756053984730,Synapse54
1417,95319 (Empire),95319,105,150,150,2187500.0,10679.47105349692,1756053984730,Synapse54,1756053984730,Synapse54
1418,95320 (Escalon),95320,552,93,93,344827500.0,117982.77105950055,1756053984730,Synapse54,1756053984730,Synapse54
1419,95321 (Groveland),95321,97,46,46,1701177500.0,340633.6299236643,1756053984730,Synapse54,1756053984730,Synapse54
1420,95322 (Gustine),95322,671,147,147,1051248750.0,293900.8781658325,1756053984730,Synapse54,1756053984730,Synapse54
1421,95323 (Hickman),95323,71,127,127,163612500.0,78730.18647668959,1756053984730,Synapse54,1756053984730,Synapse54
1422,95324 (Hilmar),95324,363,109,109,181640000.0,81735.8749389344,1756053984730,Synapse54,1756053984730,Synapse54
1423,95326 (Hughson),95326,579,115,115,111060000.0,74306.01429380511,1756053984730,Synapse54,1756053984730,Synapse54
1424,95327 (Jamestown),95327,217,48,48,670627785.71875,190742.9097978507,1756053984730,Synapse54,1756053984730,Synapse54
1425,95328 (Keyes),95328,307,160,160,3326250.0,7995.364167645134,1756053984730,Synapse54,1756053984730,Synapse54
1426,95329 (La Grange),95329,89,67,67,703817214.28125,267121.70471598656,1756053984730,Synapse54,1756053984730,Synapse54
1427,95330 (Lathrop),95330,2217,128,128,98021250.0,60058.99147001137,1756053984730,Synapse54,1756053984730,Synapse54
1428,95333 (Le Grand),95333,188,153,153,451225000.0,141922.31380140336,1756053984730,Synapse54,1756053984730,Synapse54
