OBJECTID,DESCRIPTION,ID,MEDHINC_FY,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1722,96101 (Alturas),96101,62084,62084,2647345000.0,326480.23536678846,1756054326634,Synapse54,1756054326634,Synapse54
1723,96103 (Blairsden Graeagle),96103,81070,81070,814893750.0,165242.91683443944,1756054326634,Synapse54,1756054326634,Synapse54
1724,96104 (Cedarville),96104,64128,64128,1548406250.0,227960.23551187795,1756054326634,Synapse54,1756054326634,Synapse54
1725,96105 (Chilcoot),96105,112857,112857,550906250.0,112873.98310187725,1756054326634,Synapse54,1756054326634,Synapse54
1726,96106 (Clio),96106,72065,72065,69467500.0,40469.639573646535,1756054326634,Synapse54,1756054326634,Synapse54
1727,96107 (Coleville),96107,76439,76439,2254641250.0,250467.34345211758,1756054326634,Synapse54,1756054326634,Synapse54
1728,96108 (Davis Creek),96108,79918,79918,6203706250.0,498747.68602831644,1756054326634,Synapse54,1756054326634,Synapse54
1729,96109 (Doyle),96109,61038,61038,1028228750.0,211890.36809422422,1756054326634,Synapse54,1756054326634,Synapse54
1730,96110 (Eagleville),96110,45000,45000,4591250.0,13330.66350262244,1756054326634,Synapse54,1756054326634,Synapse54
1731,96111 (Floriston),96111,188871,188871,105536250.0,50754.75048876602,1756054326634,Synapse54,1756054326634,Synapse54
1732,96112 (Fort Bidwell),96112,60000,60000,631055000.0,139378.85738740634,1756054326634,Synapse54,1756054326634,Synapse54
1733,96113 (Herlong),96113,64685,64685,1434741250.0,211698.51714828014,1756054326634,Synapse54,1756054326634,Synapse54
1734,96114 (Janesville),96114,86845,86845,1198180000.0,310531.4956674664,1756054326634,Synapse54,1756054326634,Synapse54
1735,96115 (Lake City),96115,72134,72134,1002093750.0,169242.28702451545,1756054326634,Synapse54,1756054326634,Synapse54
1736,96116 (Likely),96116,79478,79478,1463056250.0,243644.31434873003,1756054326634,Synapse54,1756054326634,Synapse54
1737,96117 (Litchfield),96117,84511,84511,332925000.0,101752.65260828368,1756054326634,Synapse54,1756054326634,Synapse54
1738,96118 (Loyalton),96118,76474,76474,396796250.0,141140.54691701915,1756054326634,Synapse54,1756054326634,Synapse54
