OBJECTID,DESCRIPTION,ID,TOTPOP_FY,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
240,91343 (North Hills),91343,60905,60905,22573750.0,21053.555978158878,1756054349282,Synapse54,1756054349282,Synapse54
241,91344 (Granada Hills),91344,50405,50405,59877500.0,35582.121333585426,1756054349282,Synapse54,1756054349282,Synapse54
242,91345 (Mission Hills),91345,17869,17869,11813750.0,15317.881749383128,1756054349282,Synapse54,1756054349282,Synapse54
243,91350 (Santa Clarita),91350,41271,41271,53625000.0,49482.965404838804,1756054349282,Synapse54,1756054349282,Synapse54
244,91351 (Canyon Country),91351,32569,32569,34091250.0,42054.59003323661,1756054349282,Synapse54,1756054349282,Synapse54
245,91352 (Sun Valley),91352,44201,44201,53561250.0,49423.15083572834,1756054349282,Synapse54,1756054349282,Synapse54
246,91354 (Valencia),91354,31670,31670,20238750.0,21868.371539337353,1756054349282,Synapse54,1756054349282,Synapse54
247,91355 (Valencia),91355,31923,31923,82675000.0,70585.76126363585,1756054349282,Synapse54,1756054349282,Synapse54
248,91356 (Tarzana),91356,28767,28767,29008750.0,26483.575375031935,1756054349282,Synapse54,1756054349282,Synapse54
249,91360 (Thousand Oaks),91360,41605,41605,57247500.0,45654.019537525324,1756054349282,Synapse54,1756054349282,Synapse54
250,91361 (Westlake Village),91361,20408,20408,96388750.0,56300.17235205668,1756054349282,Synapse54,1756054349282,Synapse54
251,91362 (Thousand Oaks),91362,34077,34077,71983750.0,40832.01328540987,1756054349282,Synapse54,1756054349282,Synapse54
252,91364 (Woodland Hills),91364,25633,25633,26443750.0,27993.124364922765,1756054349282,Synapse54,1756054349282,Synapse54
253,91367 (Woodland Hills),91367,46262,46262,28146250.0,33799.32765120731,1756054349282,Synapse54,1756054349282,Synapse54
254,91371 (Woodland Hills),91371,1160,1160,2255000.0,6066.578641537791,1756054349282,Synapse54,1756054349282,Synapse54
255,91377 (Oak Park),91377,12972,12972,22558750.0,20448.277715778455,1756054349282,Synapse54,1756054349282,Synapse54
256,91381 (Stevenson Ranch),91381,24050,24050,113402500.0,72080.28662784427,1756054349282,Synapse54,1756054349282,Synapse54
257,91384 (Castaic),91384,28637,28637,742741250.0,140744.13601413922,1756054349282,Synapse54,1756054349282,Synapse54
258,91387 (Canyon Country),91387,47444,47444,116305428.57421875,88573.40145051818,1756054349282,Synapse54,1756054349282,Synapse54
259,91390 (Santa Clarita),91390,19311,19311,606773321.4257812,154790.04631436671,1756054349282,Synapse54,1756054349282,Synapse54
260,91401 (Van Nuys),91401,39661,39661,13360000.0,15691.442451482295,1756054349282,Synapse54,1756054349282,Synapse54
261,91402 (Panorama City),91402,67384,67384,14613750.0,19129.15752292534,1756054349282,Synapse54,1756054349282,Synapse54
262,91403 (Sherman Oaks),91403,21899,21899,13207500.0,20944.03520832626,1756054349282,Synapse54,1756054349282,Synapse54
263,91405 (Van Nuys),91405,50119,50119,12091250.0,15112.44542907185,1756054349282,Synapse54,1756054349282,Synapse54
264,91406 (Van Nuys),91406,54971,54971,31267500.0,25572.26328479759,1756054349282,Synapse54,1756054349282,Synapse54
265,91411 (Van Nuys),91411,26159,26159,7867500.0,12748.359858568725,1756054349282,Synapse54,1756054349282,Synapse54
266,91423 (Sherman Oaks),91423,31178,31178,15983750.0,25194.265539497017,1756054349282,Synapse54,1756054349282,Synapse54
267,91436 (Encino),91436,14973,14973,24975000.0,30611.765161515574,1756054349282,Synapse54,1756054349282,Synapse54
268,91501 (Burbank),91501,20753,20753,17756250.0,21517.67488198507,1756054349282,Synapse54,1756054349282,Synapse54
269,91502 (Burbank),91502,10967,10967,5628750.0,15889.337267710574,1756054349282,Synapse54,1756054349282,Synapse54
270,91504 (Burbank),91504,25394,25394,15581250.0,19811.40597407565,1756054349282,Synapse54,1756054349282,Synapse54
271,91505 (Burbank),91505,32450,32450,18962500.0,30926.121566997354,1756054349282,Synapse54,1756054349282,Synapse54
272,91506 (Burbank),91506,19200,19200,9680000.0,15029.963565909959,1756054349282,Synapse54,1756054349282,Synapse54
273,91521 (Burbank),91521,0,0,268750.0,2089.038078859339,1756054349282,Synapse54,1756054349282,Synapse54
274,91522 (Burbank),91522,66,66,591250.0,3354.7706741831425,1756054349282,Synapse54,1756054349282,Synapse54
275,91523 (Burbank),91523,0,0,225000.0,1880.8246495725361,1756054349282,Synapse54,1756054349282,Synapse54
276,91601 (North Hollywood),91601,42386,42386,10333750.0,13825.11038787978,1756054349282,Synapse54,1756054349282,Synapse54
277,91602 (North Hollywood),91602,17573,17573,7328750.0,13930.165013040101,1756054349282,Synapse54,1756054349282,Synapse54
278,91604 (Studio City),91604,29144,29144,18811250.0,27053.22768113268,1756054349282,Synapse54,1756054349282,Synapse54
279,91605 (North Hollywood),91605,50158,50158,20330000.0,20352.00683994068,1756054349282,Synapse54,1756054349282,Synapse54
280,91606 (North Hollywood),91606,43487,43487,12521250.0,17149.805187558424,1756054349282,Synapse54,1756054349282,Synapse54
281,91607 (Valley Village),91607,31520,31520,9761250.0,13304.102010350245,1756054349282,Synapse54,1756054349282,Synapse54
282,91608 (Universal City),91608,36,36,2125000.0,6563.158248026421,1756054349282,Synapse54,1756054349282,Synapse54
283,91701 (Rancho Cucamonga),91701,37907,37907,28270000.0,34836.78540915206,1756054349282,Synapse54,1756054349282,Synapse54
