OBJECTID,name,address,locality,region,postcode,country,fsq_category,fsq_category_all,INDUSTRY_DESC,source,esri_pid,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
175,H&R Block,3111 E Colonial Dr,Orlando,FL,32803,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,02fd18d644225dfb2e84ca3b5d5b05cb,"H&R Block, 3111 E Colonial Dr, Orlando, FL",28.555035525078896,-81.34347464107472,1754588154609,Synapse54,1754588154609,Synapse54
176,H&R Block,14530 S Military Trl,Delray Beach,FL,33484,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,f6235dea9e4ea15e1d2cc8f11a184f0b,"H&R Block, 14530 S Military Trl, Delray Beach, FL",26.46092350174356,-80.12210481687661,1754588154609,Synapse54,1754588154609,Synapse54
177,H&R Block,14443 N Dale Mabry Hwy,Tampa,FL,33618,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,dc0c819a06eba3def89222921d99237d,"H&R Block, 14443 N Dale Mabry Hwy, Tampa, FL",28.079310900695916,-82.50616507630461,1754588154609,Synapse54,1754588154609,Synapse54
178,H&R Block,151 Harbor Village Ln,Apollo Beach,FL,33572,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,d7141040edcc5eff6ffe9101b7a39e61,"H&R Block, 151 Harbor Village Ln, Apollo Beach, FL",27.751046708930772,-82.41264261922353,1754588154609,Synapse54,1754588154609,Synapse54
179,H&R Block,1036 Dunn Ave Ste 48,Jacksonville,FL,32218,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,60d7b250b8db46ebd956bd6b827a8d16,"H&R Block, 1036 Dunn Ave Ste 48, Jacksonville, FL",30.429178365797767,-81.66239838521878,1754588154609,Synapse54,1754588154609,Synapse54
180,H&R Block,5006 E Fowler Ave Ste C,Tampa,FL,33617,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,3be464c89daa6755d56ad6266ba131b9,"H&R Block, 5006 E Fowler Ave Ste C, Tampa, FL",28.0548904720008,-82.40040901942628,1754588154609,Synapse54,1754588154609,Synapse54
181,H&R Block,2120 Saxon Blvd Ste 206B,Deltona,FL,32725,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,feabeaa667c076ae4d6661d57a148fd7,"H&R Block, 2120 Saxon Blvd Ste 206B, Deltona, FL",28.91031642393093,-81.26748897998588,1754588154609,Synapse54,1754588154609,Synapse54
182,H&R Block,516 E Woolbright Rd,Boynton Beach,FL,33435,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,5b8dab0c9fc652c645a2c2b75534c10e,"H&R Block, 516 E Woolbright Rd, Boynton Beach, FL",26.51374425169723,-80.06149072178947,1754588154609,Synapse54,1754588154609,Synapse54
183,H&R Block,5446 Bruce B Downs Blvd,Wesley Chapel,FL,33544,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,83c1f8ea3608a4f6ed014ae896835003,"H&R Block, 5446 Bruce B Downs Blvd, Wesley Chapel, FL",28.23639172265732,-82.34659934191775,1754588154609,Synapse54,1754588154609,Synapse54
184,H&R Block,27313 Old 41 Rd,Bonita Springs,FL,34135,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,b994f0f87bcda3eebf928f3731ffee95,"H&R Block, 27313 Old 41 Rd, Bonita Springs, FL",26.341213777646207,-81.77882443700578,1754588154609,Synapse54,1754588154609,Synapse54
