OBJECTID,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,NAICS_SECT,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
69,Living Room Theaters,E 9 Th St,Indianapolis,Indiana,IN,46202,4145,51213101,51213101,783201,783201,Theatres-Movie,,,"Living Room Theaters, Inc",High,Information,Branch,,,,49,3107000.0,Data Axle,0870343ff229e8df83d0f73871291d25,"Living Room Theaters, Indianapolis, Indiana",39.779340999999995,-86.144014,1758493572227,Synapse54,1758493572227,Synapse54
70,Logansport Theater LLC,Lexington Rd,Logansport,Indiana,IN,46947,2369,51213101,"51213101, 99999005",783201,"783201, 999966","Theatres-Movie, Federal Government Contractors",,,,High,Information,Independent,10000 - 19999,10000.0,19999.0,7,261000.0,Data Axle,22594c95b1fed9586417082f381c6c02,"Logansport Theater LLC, Logansport, Indiana",40.76325299999998,-86.31158000000002,1758493572227,Synapse54,1758493572227,Synapse54
71,Madison 6 Cinemas,Jefferson Ct,Madison,Indiana,IN,47250,1800,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,40000 - 99999,40000.0,99999.0,19,,Data Axle,287839673eb29fe877946fac0ee5aa7c,"Madison 6 Cinemas, Madison, Indiana",38.77700800000001,-85.403153,1758493572227,Synapse54,1758493572227,Synapse54
72,Mallers Joyner Cinemas LLC,Mariners Dr,Warsaw,Indiana,IN,46582,7652,51213101,"51213101, 99999005",783201,"783201, 999966","Theatres-Movie, Federal Government Contractors",,,,High,Information,Independent,,,,39,1810000.0,Data Axle,ff7fff93803505bdc0503721369601e7,"Mallers Joyner Cinemas LLC, Warsaw, Indiana",41.252395,-85.82425499999998,1758493572227,Synapse54,1758493572227,Synapse54
73,Mary Max Cinemas,Lexington Rd,Logansport,Indiana,IN,46947,2369,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,10000 - 19999,10000.0,19999.0,9,336000.0,Data Axle,753d039cef483be88c804db7a3282329,"Mary Max Cinemas, Logansport, Indiana",40.76325299999998,-86.31158000000002,1758493572227,Synapse54,1758493572227,Synapse54
74,McIc Vermont LLC,W Lincoln Ave,Goshen,Indiana,IN,46526,2414,51213101,"51213101, 99999005",783201,"783201, 999966","Theatres-Movie, Federal Government Contractors",,,,Medium,Information,Independent,,,,57,3410000.0,Data Axle,8d8770ef793cd3235e1b2cfe224c1e93,"McIc Vermont LLC, Goshen, Indiana",41.586320000000015,-85.843005,1758493572227,Synapse54,1758493572227,Synapse54
75,Melody Drive in Theatre,S US Highway 35,Knox,Indiana,IN,46534,8210,51213202,51213202,783301,783301,Drive-In Motion Picture Theaters,,,,High,Information,Independent,5000 - 9999,5000.0,9999.0,4,,Data Axle,2565c39624fd2eff58255f1d8f77937c,"Melody Drive in Theatre, Knox, Indiana",41.20003299999997,-86.603716,1758493572227,Synapse54,1758493572227,Synapse54
76,Nappanee Theatre,N Main St,Nappanee,Indiana,IN,46550,1938,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,10000 - 19999,10000.0,19999.0,9,544000.0,Data Axle,a9a5af90ae11a31e1e01fa2d36059eac,"Nappanee Theatre, Nappanee, Indiana",41.44325799999999,-86.001687,1758493572227,Synapse54,1758493572227,Synapse54
77,NCG Cinema Auburn,Smaltz Way,Auburn,Indiana,IN,46706,9597,51213101,51213101,783201,783201,Theatres-Movie,,,Neighborhood Cinema Group,High,Information,Branch,10000 - 19999,10000.0,19999.0,7,316000.0,Data Axle,ed7d3c64bbfd69490bc58ba2afc12ae6,"NCG Cinema Auburn, Auburn, Indiana",41.35957499999999,-85.087196,1758493572227,Synapse54,1758493572227,Synapse54
78,Nightsky Outdoor Cinema,9th St,Tell City,Indiana,IN,47586,1406,51213202,51213202,783301,783301,Drive-In Motion Picture Theaters,,,,High,Information,Independent,10000 - 19999,10000.0,19999.0,7,257000.0,Data Axle,df714d990da221e3a988b609be33b7b0,"Nightsky Outdoor Cinema, Tell City, Indiana",37.960240000000006,-86.76804899999999,1758493572227,Synapse54,1758493572227,Synapse54
79,North Park Cinemas Inc,N 3rd Ave,Evansville,Indiana,IN,47710,3584,51213101,"51213101, 99999005",783201,"783201, 999966","Theatres-Movie, Federal Government Contractors",,,,High,Information,Independent,,,,59,3085000.0,Data Axle,7befaec7d07ed6698cc2feb4f2873204,"North Park Cinemas Inc, Evansville, Indiana",38.016273999999996,-87.57874400000001,1758493572227,Synapse54,1758493572227,Synapse54
80,North Pointe Cinemas,Mariners Dr,Warsaw,Indiana,IN,46582,7652,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,20000 - 39999,20000.0,39999.0,10,464000.0,Data Axle,2bd591fd1e31f2a55e1cc91d3ddc5b98,"North Pointe Cinemas, Warsaw, Indiana",41.252395,-85.82425499999998,1758493572227,Synapse54,1758493572227,Synapse54
81,Northgate Cinema Inc,Lakewood Dr,Greenfield,Indiana,IN,46140,8737,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,,,,87,3913000.0,Data Axle,ffe4e3244dfd5ae696137283d91a3e03,"Northgate Cinema Inc, Greenfield, Indiana",39.839808,-85.78042,1758493572227,Synapse54,1758493572227,Synapse54
82,Ole Olson Memorial Theatre,S Broadway,Peru,Indiana,IN,46970,2226,51213101,"51213101, 81341005, 81331908",783201,"783201, 864106, 839998","Theatres-Movie, Educational Associations, Non-Profit Organizations",,,,Medium,Information,Independent,10000 - 19999,10000.0,19999.0,11,419000.0,Data Axle,896ca6256676c58379036f3469868887,"Ole Olson Memorial Theatre, Peru, Indiana",40.750913000000004,-86.06696799999999,1758493572227,Synapse54,1758493572227,Synapse54
83,Pantheon Theatre Co,Main St,Vincennes,Indiana,IN,47591,2020,51213101,"51213101, 99999005",783201,"783201, 999966","Theatres-Movie, Federal Government Contractors",,,,High,Information,Independent,10000 - 19999,10000.0,19999.0,7,300000.0,Data Axle,0ac1f36bded23ca07a4f527ea87a476e,"Pantheon Theatre Co, Vincennes, Indiana",38.67781799999998,-87.52994300000002,1758493572227,Synapse54,1758493572227,Synapse54
84,Pickwick Theatre,W Main St,Syracuse,Indiana,IN,46567,1125,51213101,"51213101, 99999005",783201,"783201, 999966","Theatres-Movie, Federal Government Contractors",,,,High,Information,Independent,10000 - 19999,10000.0,19999.0,7,418000.0,Data Axle,cd23100f4d025f7bf827e1727af4a891,"Pickwick Theatre, Syracuse, Indiana",41.427750999999994,-85.75334700000002,1758493572227,Synapse54,1758493572227,Synapse54
85,Princess Theatres,N Main St,Rushville,Indiana,IN,46173,1636,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,20000 - 39999,20000.0,39999.0,9,538000.0,Data Axle,ca9945742f6a7a6a304b97061d2bfb21,"Princess Theatres, Rushville, Indiana",39.610034999999975,-85.444419,1758493572227,Synapse54,1758493572227,Synapse54
