OBJECTID,admin4_name,admin3_name,admin2_name,id,TPOPK2,TPOPK2_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
116,54460 (Owen),Clark County,Wisconsin,862751467ffffff,0,0.0,0.0,75410000.00390625,32339.481756047408,1758491864931,Synapse54,1758491864931,Synapse54
117,54446 (Loyal),Clark County,Wisconsin,86275146fffffff,0,0.0,0.0,75884999.9921875,32439.320422262143,1758491864931,Synapse54,1758491864931,Synapse54
118,54498 (Withee),Clark County,Wisconsin,862751477ffffff,0,0.0,0.0,75291250.00390625,32313.94009384934,1758491864931,Synapse54,1758491864931,Synapse54
119,54768 (Stanley),Chippewa County,Wisconsin,862751487ffffff,0,0.0,0.0,75380000.0,32332.93719396077,1758491864931,Synapse54,1758491864931,Synapse54
120,54768 (Stanley),Clark County,Wisconsin,86275148fffffff,0,0.0,0.0,75172499.9921875,32288.398431651272,1758491864931,Synapse54,1758491864931,Synapse54
121,54726 (Boyd),Chippewa County,Wisconsin,862751497ffffff,0,0.0,0.0,75568750.0,32375.74425106474,1758491864931,Synapse54,1758491864931,Synapse54
122,54726 (Boyd),Chippewa County,Wisconsin,86275149fffffff,0,0.0,0.0,75587500.0078125,32379.194197256962,1758491864931,Synapse54,1758491864931,Synapse54
123,54768 (Stanley),Clark County,Wisconsin,8627514a7ffffff,0,0.0,0.0,75806249.99609375,32424.271917724036,1758491864931,Synapse54,1758491864931,Synapse54
124,54768 (Stanley),Clark County,Wisconsin,8627514afffffff,0,0.0,0.0,75398750.0078125,32336.38714015299,1758491864931,Synapse54,1758491864931,Synapse54
125,54768 (Stanley),Chippewa County,Wisconsin,8627514b7ffffff,0,0.0,0.0,75806250.0,32424.271917724036,1758491864931,Synapse54,1758491864931,Synapse54
126,54771 (Thorp),Clark County,Wisconsin,8627514c7ffffff,0,0.0,0.0,75291249.99609375,32313.94009384934,1758491864931,Synapse54,1758491864931,Synapse54
127,54493 (Willard),Clark County,Wisconsin,8627514cfffffff,0,0.0,0.0,75291250.00390625,32313.94009384934,1758491864931,Synapse54,1758491864931,Synapse54
128,54771 (Thorp),Clark County,Wisconsin,8627514d7ffffff,0,0.0,0.0,75172500.0078125,32288.398431651272,1758491864931,Synapse54,1758491864931,Synapse54
129,54771 (Thorp),Clark County,Wisconsin,8627514dfffffff,0,0.0,0.0,74737500.0078125,32193.741416834288,1758491864931,Synapse54,1758491864931,Synapse54
130,54437 (Greenwood),Clark County,Wisconsin,8627514e7ffffff,0,0.0,0.0,75527500.00390625,32362.64584061771,1758491864931,Synapse54,1758491864931,Synapse54
131,54437 (Greenwood),Clark County,Wisconsin,8627514efffffff,0,0.0,0.0,75161249.9921875,32285.229613925225,1758491864931,Synapse54,1758491864931,Synapse54
132,54771 (Thorp),Clark County,Wisconsin,8627514f7ffffff,0,0.0,0.0,75587500.0,32379.194197256962,1758491864931,Synapse54,1758491864931,Synapse54
133,54498 (Withee),Taylor County,Wisconsin,862751507ffffff,0,0.0,0.0,76400000.0,32549.470673888907,1758491864931,Synapse54,1758491864931,Synapse54
134,54498 (Withee),Taylor County,Wisconsin,86275150fffffff,0,0.0,0.0,75885000.0078125,32439.320422262143,1758491864931,Synapse54,1758491864931,Synapse54
135,54433 (Gilman),Taylor County,Wisconsin,862751517ffffff,0,0.0,0.0,76609999.99609375,32593.778062353555,1758491864931,Synapse54,1758491864931,Synapse54
136,54447 (Lublin),Taylor County,Wisconsin,86275151fffffff,0,0.0,0.0,76480000.0,32564.91260488851,1758491864931,Synapse54,1758491864931,Synapse54
137,54451 (Medford),Taylor County,Wisconsin,862751527ffffff,0,0.0,0.0,76610000.0,32595.92095803193,1758491864931,Synapse54,1758491864931,Synapse54
138,54498 (Withee),Taylor County,Wisconsin,86275152fffffff,0,0.0,0.0,76419999.99609375,32553.208589314698,1758491864931,Synapse54,1758491864931,Synapse54
139,54451 (Medford),Taylor County,Wisconsin,862751537ffffff,0,0.0,0.0,76591250.0,32592.358475073426,1758491864931,Synapse54,1758491864931,Synapse54
140,54460 (Owen),Clark County,Wisconsin,862751547ffffff,0,0.0,0.0,75884999.9921875,32439.320422262143,1758491864931,Synapse54,1758491864931,Synapse54
141,54422 (Curtiss),Clark County,Wisconsin,86275154fffffff,0,0.0,0.0,75885000.0,32439.320422262143,1758491864931,Synapse54,1758491864931,Synapse54
142,54498 (Withee),Clark County,Wisconsin,862751557ffffff,0,0.0,0.0,76053750.00390625,32478.470308020875,1758491864931,Synapse54,1758491864931,Synapse54
143,54460 (Owen),Clark County,Wisconsin,86275155fffffff,0,0.0,0.0,75884999.9921875,32439.320422262143,1758491864931,Synapse54,1758491864931,Synapse54
144,54422 (Curtiss),Taylor County,Wisconsin,862751567ffffff,0,0.0,0.0,76122499.99609375,32488.16272755908,1758491864931,Synapse54,1758491864931,Synapse54
145,54021 (Prescott),Pierce County,Wisconsin,86262c827ffffff,1395,26.66,26.66,74100000.0,32057.410923822383,1758491864931,Synapse54,1758491864931,Synapse54
146,54425 (Dorchester),Clark County,Wisconsin,86275156fffffff,0,0.0,0.0,75885000.0078125,32439.320422262143,1758491864931,Synapse54,1758491864931,Synapse54
147,54460 (Owen),Taylor County,Wisconsin,862751577ffffff,0,0.0,0.0,76501250.00390625,32571.4366166424,1758491864931,Synapse54,1758491864931,Synapse54
148,54768 (Stanley),Taylor County,Wisconsin,862751587ffffff,0,0.0,0.0,76062500.0,32479.084169281872,1758491864931,Synapse54,1758491864931,Synapse54
149,54771 (Thorp),Clark County,Wisconsin,86275158fffffff,0,0.0,0.0,76032499.99609375,32472.260626225758,1758491864931,Synapse54,1758491864931,Synapse54
150,54768 (Stanley),Chippewa County,Wisconsin,862751597ffffff,0,0.0,0.0,76313750.0,32534.090436346247,1758491864931,Synapse54,1758491864931,Synapse54
151,54768 (Stanley),Chippewa County,Wisconsin,86275159fffffff,0,0.0,0.0,75825000.00390625,32427.72186391626,1758491864931,Synapse54,1758491864931,Synapse54
152,54433 (Gilman),Taylor County,Wisconsin,8627515a7ffffff,0,0.0,0.0,76271250.0,32523.59878289954,1758491864931,Synapse54,1758491864931,Synapse54
153,54771 (Thorp),Taylor County,Wisconsin,8627515afffffff,0,0.0,0.0,76143749.99609375,32497.493061037392,1758491864931,Synapse54,1758491864931,Synapse54
154,54433 (Gilman),Chippewa County,Wisconsin,8627515b7ffffff,0,0.0,0.0,76442500.0,32562.98004250312,1758491864931,Synapse54,1758491864931,Synapse54
155,54436 (Granton),Clark County,Wisconsin,862751607ffffff,0,0.0,0.0,74384999.99609375,32116.950556487915,1758491864931,Synapse54,1758491864931,Synapse54
156,54436 (Granton),Clark County,Wisconsin,86275160fffffff,0,0.0,0.0,74542500.0,32155.806074453612,1758491864931,Synapse54,1758491864931,Synapse54
157,54456 (Neillsville),Clark County,Wisconsin,862751617ffffff,0,0.0,0.0,74758749.99609375,32200.36502598872,1758491864931,Synapse54,1758491864931,Synapse54
