OBJECTID,admin4_name,admin3_name,admin2_name,id,BABYBOOMCY,BABYBOOMCY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1620,46173 (Rushville),Rush County,Indiana,862a92297ffffff,1380,20.08,20.08,59231249.99609375,28671.849095412865,1758492487369,Synapse54,1758492487369,Synapse54
1621,46173 (Rushville),Rush County,Indiana,862a9229fffffff,34,21.94,21.94,59231249.99609375,28679.594896972303,1758492487369,Synapse54,1758492487369,Synapse54
1622,46133 (Glenwood),Rush County,Indiana,862a922a7ffffff,115,26.93,26.93,59573750.0,28758.852799559143,1758492487369,Synapse54,1758492487369,Synapse54
1623,46133 (Glenwood),Fayette County,Indiana,862a922afffffff,91,24.14,24.14,59370000.00390625,28706.717624306937,1758492487369,Synapse54,1758492487369,Synapse54
1624,46173 (Rushville),Rush County,Indiana,862a922b7ffffff,73,26.16,26.16,59575000.0,28759.097500517706,1758492487369,Synapse54,1758492487369,Synapse54
1625,47024 (Laurel),Franklin County,Indiana,862a922c7ffffff,139,20.0,20.0,58938750.0078125,28605.529619213426,1758492487369,Synapse54,1758492487369,Synapse54
1626,47030 (Metamora),Franklin County,Indiana,862a922cfffffff,117,22.37,22.37,58938749.9921875,28605.529619213426,1758492487369,Synapse54,1758492487369,Synapse54
1627,46173 (Rushville),Rush County,Indiana,862a922d7ffffff,100,20.37,20.37,58889999.99609375,28592.346491867465,1758492487369,Synapse54,1758492487369,Synapse54
1628,47024 (Laurel),Franklin County,Indiana,862a922dfffffff,89,21.71,21.71,58890000.0,28592.346491867465,1758492487369,Synapse54,1758492487369,Synapse54
1629,47024 (Laurel),Franklin County,Indiana,862a922e7ffffff,143,20.14,20.14,59158749.99609375,28659.90125658227,1758492487369,Synapse54,1758492487369,Synapse54
1630,47024 (Laurel),Franklin County,Indiana,862a922efffffff,113,21.81,21.81,59158750.0,28659.901256582274,1758492487369,Synapse54,1758492487369,Synapse54
1631,47331 (Connersville),Fayette County,Indiana,862a922f7ffffff,144,22.5,22.5,59076249.99609375,28639.897610754473,1758492487369,Synapse54,1758492487369,Synapse54
1632,47357 (Milton),Wayne County,Indiana,862a92307ffffff,63,27.16,27.16,59712500.00390625,28793.721328453215,1758492487369,Synapse54,1758492487369,Synapse54
1633,47331 (Connersville),Fayette County,Indiana,862a9230fffffff,89,29.47,29.47,59802499.9921875,28813.284893698816,1758492487369,Synapse54,1758492487369,Synapse54
1634,47357 (Milton),Wayne County,Indiana,862a92317ffffff,170,24.15,24.15,59525000.0,28746.95882279498,1758492487369,Synapse54,1758492487369,Synapse54
1635,47331 (Connersville),Fayette County,Indiana,862a9231fffffff,154,25.37,25.37,59737499.99609375,28799.236748758216,1758492487369,Synapse54,1758492487369,Synapse54
1636,47330 (Centerville),Wayne County,Indiana,862a92327ffffff,160,24.21,24.21,60138749.99609375,28892.648980827973,1758492487369,Synapse54,1758492487369,Synapse54
1637,47330 (Centerville),Wayne County,Indiana,862a9232fffffff,131,26.95,26.95,59525000.0,28746.414910524774,1758492487369,Synapse54,1758492487369,Synapse54
1638,47327 (Cambridge City),Wayne County,Indiana,862a92337ffffff,319,24.52,24.52,60138750.0,28892.648980827973,1758492487369,Synapse54,1758492487369,Synapse54
1639,47353 (Liberty),Union County,Indiana,862a92347ffffff,482,20.71,20.71,59501250.00390625,28739.566267146027,1758492487369,Synapse54,1758492487369,Synapse54
1640,47353 (Liberty),Union County,Indiana,862a9234fffffff,85,25.3,25.3,59370000.0,28706.71762430694,1758492487369,Synapse54,1758492487369,Synapse54
1641,47325 (Brownsville),Fayette County,Indiana,862a92357ffffff,182,27.25,27.25,59525000.0078125,28752.112701132326,1758492487369,Synapse54,1758492487369,Synapse54
1642,47353 (Liberty),Union County,Indiana,862a9235fffffff,104,26.67,26.67,59510000.0,28747.205884163148,1758492487369,Synapse54,1758492487369,Synapse54
1643,47353 (Liberty),Union County,Indiana,862a92367ffffff,46,23.71,23.71,59722500.0078125,28793.85984486946,1758492487369,Synapse54,1758492487369,Synapse54
1644,47353 (Liberty),Union County,Indiana,862a9236fffffff,144,20.6,20.6,59590000.0,28761.08926167579,1758492487369,Synapse54,1758492487369,Synapse54
