OBJECTID,admin4_name,admin3_name,admin2_name,id,TPOPL1,TPOPL1_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
680,62839 (Flora),Clay County,Illinois,862645037ffffff,0,0.0,0.0,57217883.9296875,28186.70639196341,1758491782767,Synapse54,1758491782767,Synapse54
681,61238 (Cambridge),Henry County,Illinois,862675117ffffff,0,0.0,0.0,63187148.53515625,29614.68028873264,1758491782767,Synapse54,1758491782767,Synapse54
682,61238 (Cambridge),Henry County,Illinois,86267511fffffff,0,0.0,0.0,63037785.859375,29579.85525170366,1758491782767,Synapse54,1758491782767,Synapse54
683,62341 (Hamilton),Hancock County,Illinois,8626702e7ffffff,0,0.0,0.0,60914591.078125,29079.971626793304,1758491782767,Synapse54,1758491782767,Synapse54
684,62823 (Cisne),Wayne County,Illinois,862645047ffffff,0,0.0,0.0,56932239.2421875,28116.382065505415,1758491782767,Synapse54,1758491782767,Synapse54
685,61238 (Cambridge),Henry County,Illinois,862675127ffffff,0,0.0,0.0,63348515.6953125,29652.140326770535,1758491782767,Synapse54,1758491782767,Synapse54
686,62379 (Warsaw),Hancock County,Illinois,8626702efffffff,0,0.0,0.0,60838843.02734375,29061.80888925779,1758491782767,Synapse54,1758491782767,Synapse54
687,62837 (Fairfield),Wayne County,Illinois,86264504fffffff,0,0.0,0.0,56857267.5625,28097.825816034136,1758491782767,Synapse54,1758491782767,Synapse54
688,61443 (Kewanee),Henry County,Illinois,86267512fffffff,0,0.0,0.0,63198450.98828125,29617.19499205413,1758491782767,Synapse54,1758491782767,Synapse54
689,62823 (Cisne),Wayne County,Illinois,862645057ffffff,0,0.0,0.0,56992709.62890625,28131.07005685733,1758491782767,Synapse54,1758491782767,Synapse54
690,62341 (Hamilton),Hancock County,Illinois,8626702f7ffffff,0,0.0,0.0,60970015.265625,29092.99435087123,1758491782767,Synapse54,1758491782767,Synapse54
691,62837 (Fairfield),Wayne County,Illinois,86264505fffffff,0,0.0,0.0,56917746.9453125,28112.525708633737,1758491782767,Synapse54,1758491782767,Synapse54
692,61238 (Cambridge),Henry County,Illinois,862675137ffffff,0,0.0,0.0,63342858.81640625,29650.883068246047,1758491782767,Synapse54,1758491782767,Synapse54
693,62823 (Cisne),Wayne County,Illinois,862645067ffffff,0,0.0,0.0,56946650.86328125,28120.220095162338,1758491782767,Synapse54,1758491782767,Synapse54
694,52658 (Wever),Lee County,Iowa,862670307ffffff,0,0.0,0.0,61127002.16015625,29131.644630686733,1758491782767,Synapse54,1758491782767,Synapse54
695,61449 (La Fayette),Stark County,Illinois,862675147ffffff,0,0.0,0.0,62899485.609375,29547.455333804603,1758491782767,Synapse54,1758491782767,Synapse54
696,62446 (Mount Erie),Wayne County,Illinois,86264506fffffff,0,0.0,0.0,56871621.19140625,28101.65107418214,1758491782767,Synapse54,1758491782767,Synapse54
697,61449 (La Fayette),Stark County,Illinois,86267514fffffff,0,0.0,0.0,62750582.84375,29512.660875440088,1758491782767,Synapse54,1758491782767,Synapse54
698,62358 (Niota),Hancock County,Illinois,86267030fffffff,0,0.0,0.0,61050958.43359375,29113.437840462626,1758491782767,Synapse54,1758491782767,Synapse54
699,62823 (Cisne),Wayne County,Illinois,862645077ffffff,0,0.0,0.0,57007259.8828125,28134.93915674524,1758491782767,Synapse54,1758491782767,Synapse54
700,61434 (Galva),Knox County,Illinois,862675157ffffff,0,0.0,0.0,62894298.9296875,29546.303024332414,1758491782767,Synapse54,1758491782767,Synapse54
701,52627 (Fort Madison),Lee County,Iowa,862670317ffffff,0,0.0,0.0,61182803.0,29144.73053631567,1758491782767,Synapse54,1758491782767,Synapse54
702,62850 (Johnsonville),Wayne County,Illinois,862645087ffffff,0,0.0,0.0,57248189.875,28193.379209454262,1758491782767,Synapse54,1758491782767,Synapse54
703,61449 (La Fayette),Knox County,Illinois,86267515fffffff,0,0.0,0.0,62745550.51171875,29511.54313440867,1758491782767,Synapse54,1758491782767,Synapse54
704,62850 (Johnsonville),Wayne County,Illinois,86264508fffffff,0,0.0,0.0,57173216.1484375,28174.872093038586,1758491782767,Synapse54,1758491782767,Synapse54
705,62358 (Niota),Hancock County,Illinois,86267031fffffff,0,0.0,0.0,61106807.859375,29126.54355620187,1758491782767,Synapse54,1758491782767,Synapse54
706,61434 (Galva),Henry County,Illinois,862675167ffffff,0,0.0,0.0,63053814.27734375,29583.416976727098,1758491782767,Synapse54,1758491782767,Synapse54
707,62849 (Iuka),Marion County,Illinois,862645097ffffff,0,0.0,0.0,57308040.625,28207.879213510623,1758491782767,Synapse54,1758491782767,Synapse54
708,52658 (Wever),Lee County,Iowa,86267032fffffff,0,0.0,0.0,61070996.83984375,29118.505183651858,1758491782767,Synapse54,1758491782767,Synapse54
709,61449 (La Fayette),Stark County,Illinois,86267516fffffff,0,0.0,0.0,62904370.125,29548.53751725442,1758491782767,Synapse54,1758491782767,Synapse54
710,62850 (Johnsonville),Wayne County,Illinois,86264509fffffff,0,0.0,0.0,57233081.375,28189.38516720186,1758491782767,Synapse54,1758491782767,Synapse54
711,62330 (Dallas City),Hancock County,Illinois,862670347ffffff,0,0.0,0.0,60918848.375,29082.050297986345,1758491782767,Synapse54,1758491782767,Synapse54
712,61434 (Galva),Henry County,Illinois,862675177ffffff,0,0.0,0.0,63048776.0546875,29582.300340483365,1758491782767,Synapse54,1758491782767,Synapse54
713,62899 (Xenia),Wayne County,Illinois,8626450a7ffffff,0,0.0,0.0,57263217.73046875,28197.354928900284,1758491782767,Synapse54,1758491782767,Synapse54
714,62321 (Carthage),Hancock County,Illinois,86267034fffffff,0,0.0,0.0,60842821.77734375,29063.818833318725,1758491782767,Synapse54,1758491782767,Synapse54
715,61490 (Woodhull),Henry County,Illinois,862675187ffffff,0,0.0,0.0,63025578.60546875,29577.12793498681,1758491782767,Synapse54,1758491782767,Synapse54
716,62850 (Johnsonville),Wayne County,Illinois,8626450afffffff,0,0.0,0.0,57188184.67578125,28178.834821664645,1758491782767,Synapse54,1758491782767,Synapse54
717,61490 (Woodhull),Henry County,Illinois,86267518fffffff,0,0.0,0.0,62876917.74609375,29542.423332260107,1758491782767,Synapse54,1758491782767,Synapse54
718,62330 (Dallas City),Hancock County,Illinois,862670357ffffff,0,0.0,0.0,60974946.26171875,29095.22835447409,1758491782767,Synapse54,1758491782767,Synapse54
719,62321 (Carthage),Hancock County,Illinois,86267035fffffff,0,0.0,0.0,60898965.0234375,29077.01600715744,1758491782767,Synapse54,1758491782767,Synapse54
720,61413 (Alpha),Henry County,Illinois,862675197ffffff,0,0.0,0.0,63019018.41015625,29575.658402798887,1758491782767,Synapse54,1758491782767,Synapse54
721,62330 (Dallas City),Hancock County,Illinois,862670367ffffff,0,0.0,0.0,60938649.73046875,29087.066465932203,1758491782767,Synapse54,1758491782767,Synapse54
722,62899 (Xenia),Wayne County,Illinois,8626450b7ffffff,0,0.0,0.0,57323209.73828125,28211.886520389595,1758491782767,Synapse54,1758491782767,Synapse54
723,61413 (Alpha),Henry County,Illinois,86267519fffffff,0,0.0,0.0,62870518.8359375,29540.98961009685,1758491782767,Synapse54,1758491782767,Synapse54
724,61450 (La Harpe),Hancock County,Illinois,86267036fffffff,0,0.0,0.0,60862547.4375,29068.818880924773,1758491782767,Synapse54,1758491782767,Synapse54
725,61238 (Cambridge),Henry County,Illinois,8626751a7ffffff,0,0.0,0.0,63181037.7421875,29613.316464805997,1758491782767,Synapse54,1758491782767,Synapse54
726,62886 (Sims),Wayne County,Illinois,8626450c7ffffff,0,0.0,0.0,57038259.61328125,28141.79585160686,1758491782767,Synapse54,1758491782767,Synapse54
727,62330 (Dallas City),Hancock County,Illinois,862670377ffffff,0,0.0,0.0,60994904.953125,29100.278642421654,1758491782767,Synapse54,1758491782767,Synapse54
728,61490 (Woodhull),Henry County,Illinois,8626751afffffff,0,0.0,0.0,63031834.73046875,29578.52695866234,1758491782767,Synapse54,1758491782767,Synapse54
729,52627 (Fort Madison),Lee County,Iowa,86267038fffffff,0,0.0,0.0,61142019.5625,29134.44257542486,1758491782767,Synapse54,1758491782767,Synapse54
730,62837 (Fairfield),Wayne County,Illinois,8626450cfffffff,0,0.0,0.0,56963367.99609375,28123.27705635283,1758491782767,Synapse54,1758491782767,Synapse54
731,61262 (Lynn Center),Henry County,Illinois,8626751b7ffffff,0,0.0,0.0,63174622.1953125,29611.88210069853,1758491782767,Synapse54,1758491782767,Synapse54
732,52627 (Fort Madison),Lee County,Iowa,8626703afffffff,0,0.0,0.0,61162451.1953125,29139.595371176743,1758491782767,Synapse54,1758491782767,Synapse54
733,62886 (Sims),Wayne County,Illinois,8626450d7ffffff,0,0.0,0.0,57098289.25,28156.365331894445,1758491782767,Synapse54,1758491782767,Synapse54
734,61272 (New Boston),Mercer County,Illinois,862670947ffffff,0,0.0,0.0,62799317.83203125,29524.924200337475,1758491782767,Synapse54,1758491782767,Synapse54
735,61529 (Elmwood),Peoria County,Illinois,862675207ffffff,0,0.0,0.0,61706152.47265625,29267.64984741842,1758491782767,Synapse54,1758491782767,Synapse54
736,62886 (Sims),Wayne County,Illinois,8626450dfffffff,0,0.0,0.0,57023410.2890625,28137.859251620368,1758491782767,Synapse54,1758491782767,Synapse54
737,61569 (Trivoli),Peoria County,Illinois,86267520fffffff,0,0.0,0.0,61560742.015625,29233.354665723302,1758491782767,Synapse54,1758491782767,Synapse54
738,52653 (Wapello),Louisa County,Iowa,86267094fffffff,0,0.0,0.0,62652680.90234375,29490.631480491116,1758491782767,Synapse54,1758491782767,Synapse54
739,62823 (Cisne),Wayne County,Illinois,8626450e7ffffff,0,0.0,0.0,57053029.90625,28145.71449886345,1758491782767,Synapse54,1758491782767,Synapse54
740,61572 (Yates City),Knox County,Illinois,862675217ffffff,0,0.0,0.0,61701284.26171875,29266.561923505084,1758491782767,Synapse54,1758491782767,Synapse54
741,61272 (New Boston),Mercer County,Illinois,862670967ffffff,0,0.0,0.0,62955612.15234375,29561.367055050523,1758491782767,Synapse54,1758491782767,Synapse54
742,62842 (Geff),Wayne County,Illinois,8626450efffffff,0,0.0,0.0,56978078.98046875,28127.18269830213,1758491782767,Synapse54,1758491782767,Synapse54
743,61529 (Elmwood),Peoria County,Illinois,86267521fffffff,0,0.0,0.0,61556023.1328125,29232.30055000158,1758491782767,Synapse54,1758491782767,Synapse54
744,61272 (New Boston),Mercer County,Illinois,86267096fffffff,0,0.0,0.0,62808436.71875,29526.98992331405,1758491782767,Synapse54,1758491782767,Synapse54
745,62850 (Johnsonville),Wayne County,Illinois,8626450f7ffffff,0,0.0,0.0,57113198.33984375,28160.315059611305,1758491782767,Synapse54,1758491782767,Synapse54
746,62824 (Clay City),Clay County,Illinois,862645107ffffff,0,0.0,0.0,57247263.3046875,28194.50552569481,1758491782767,Synapse54,1758491782767,Synapse54
