OBJECTID,admin4_name,admin3_name,admin2_name,id,GENX_CY,GENX_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
4041,60608 (Chicago),Cook County,Illinois,862664cf7ffffff,28357,18.13,18.13,65665000.0,30186.645004274273,1758492426650,Synapse54,1758492426650,Synapse54
4042,60460 (Odell),Livingston County,Illinois,86266622fffffff,15,19.74,19.74,62803750.0,29523.98477375544,1758492426650,Synapse54,1758492426650,Synapse54
4043,60202 (Evanston),Cook County,Illinois,862664d87ffffff,25047,19.09,19.09,66607500.0,30399.869765748987,1758492426650,Synapse54,1758492426650,Synapse54
4044,60504 (Aurora),Kane County,Illinois,862666977ffffff,14945,21.19,21.19,65456250.0,30140.36067639117,1758492426650,Synapse54,1758492426650,Synapse54
4045,60660 (Chicago),Cook County,Illinois,862664d8fffffff,50775,19.47,19.47,65887500.0,30234.07238457317,1758492426650,Synapse54,1758492426650,Synapse54
4046,62449 (Oblong),Crawford County,Illinois,86266e59fffffff,32,17.49,17.49,56777499.99609375,28088.445422974208,1758492426650,Synapse54,1758492426650,Synapse54
4047,60053 (Morton Grove),Cook County,Illinois,862664d97ffffff,14537,20.37,20.37,65980000.0,30254.910809751847,1758492426650,Synapse54,1758492426650,Synapse54
4048,60460 (Odell),Livingston County,Illinois,862666237ffffff,15,19.23,19.23,62993750.00390625,29569.736102353163,1758492426650,Synapse54,1758492426650,Synapse54
4049,60646 (Chicago),Cook County,Illinois,862664d9fffffff,22036,20.8,20.8,66580000.0078125,30394.247792671464,1758492426650,Synapse54,1758492426650,Synapse54
4050,60511 (Big Rock),Kane County,Illinois,862666987ffffff,92,17.66,17.66,65397500.0,30125.81364917138,1758492426650,Synapse54,1758492426650,Synapse54
4051,60091 (Wilmette),Cook County,Illinois,862664da7ffffff,1327,16.71,16.71,66607499.99609375,30399.86976574899,1758492426650,Synapse54,1758492426650,Synapse54
4052,62454 (Robinson),Crawford County,Illinois,86266e5a7ffffff,111,21.1,21.1,57278750.00390625,28203.79015401644,1758492426650,Synapse54,1758492426650,Synapse54
4053,60626 (Chicago),Cook County,Illinois,862664dafffffff,704,23.29,23.29,66635000.0,30405.491738826513,1758492426650,Synapse54,1758492426650,Synapse54
4054,60545 (Plano),Kendall County,Illinois,86266698fffffff,128,19.36,19.36,65203750.00390625,30080.225709880335,1758492426650,Synapse54,1758492426650,Synapse54
4055,60093 (Winnetka),Cook County,Illinois,862664db7ffffff,10959,23.72,23.72,66346250.0,30342.29623196274,1758492426650,Synapse54,1758492426650,Synapse54
4056,61769 (Saunemin),Livingston County,Illinois,862666247ffffff,20,20.2,20.2,62420000.0,29434.741281175586,1758492426650,Synapse54,1758492426650,Synapse54
