OBJECTID,admin4_name,admin3_name,admin2_name,id,MILLENN_CY,MILLENN_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
2317,46901 (Kokomo),Howard County,Indiana,86266532fffffff,78,18.31,18.31,62113750.00390625,29365.546976406138,1758492393705,Synapse54,1758492393705,Synapse54
2318,47012 (Brookville),Franklin County,Indiana,862a93c9fffffff,53,20.31,20.31,59242500.00390625,28680.66048524493,1758492393705,Synapse54,1758492393705,Synapse54
2319,46901 (Kokomo),Miami County,Indiana,862665337ffffff,143,17.44,17.44,62138750.0,29365.857298459898,1758492393705,Synapse54,1758492393705,Synapse54
2320,45003 (College Corner),Preble County,Ohio,862a93ca7ffffff,147,19.65,19.65,59509999.99609375,28747.205884163148,1758492393705,Synapse54,1758492393705,Synapse54
2321,46936 (Greentown),Howard County,Indiana,862665347ffffff,113,19.82,19.82,61706250.0,29266.670870926864,1758492393705,Synapse54,1758492393705,Synapse54
2322,47353 (Liberty),Union County,Indiana,862a93cb7ffffff,238,25.65,25.65,59534999.99609375,28746.739494780602,1758492393705,Synapse54,1758492393705,Synapse54
2323,46076 (Windfall),Tipton County,Indiana,86266534fffffff,33,21.02,21.02,61762499.99609375,29278.288877628027,1758492393705,Synapse54,1758492393705,Synapse54
2324,47353 (Liberty),Union County,Indiana,862a93d97ffffff,40,19.05,19.05,59722500.00390625,28793.859844869457,1758492393705,Synapse54,1758492393705,Synapse54
2325,46902 (Kokomo),Howard County,Indiana,862665357ffffff,98,19.14,19.14,61791249.99609375,29286.425047881596,1758492393705,Synapse54,1758492393705,Synapse54
2326,45003 (College Corner),Preble County,Ohio,862a93d9fffffff,57,21.03,21.03,59430000.0,28727.78083533379,1758492393705,Synapse54,1758492393705,Synapse54
2327,46076 (Windfall),Tipton County,Indiana,86266535fffffff,240,23.76,23.76,61791250.0,29286.425047881596,1758492393705,Synapse54,1758492393705,Synapse54
2328,45320 (Eaton),Preble County,Ohio,862a93db7ffffff,29,19.59,19.59,59722500.00390625,28793.859844869457,1758492393705,Synapse54,1758492393705,Synapse54
2329,46936 (Greentown),Howard County,Indiana,862665367ffffff,80,19.14,19.14,61922500.00390625,29313.900054684404,1758492393705,Synapse54,1758492393705,Synapse54
2330,46773 (Monroeville),Allen County,Indiana,862a96007ffffff,295,23.58,23.58,63600000.0,29706.31602700715,1758492393705,Synapse54,1758492393705,Synapse54
2331,46928 (Fairmount),Grant County,Indiana,86266536fffffff,59,19.03,19.03,61547500.0,29226.401250053503,1758492393705,Synapse54,1758492393705,Synapse54
2332,46733 (Decatur),Adams County,Indiana,862a9600fffffff,81,18.0,18.0,63105000.00390625,29592.67605253681,1758492393705,Synapse54,1758492393705,Synapse54
2333,46936 (Greentown),Howard County,Indiana,862665377ffffff,668,19.64,19.64,61791250.0,29286.425047881596,1758492393705,Synapse54,1758492393705,Synapse54
2334,46773 (Monroeville),Allen County,Indiana,862a96017ffffff,258,20.64,20.64,63795000.0,29753.016052159343,1758492393705,Synapse54,1758492393705,Synapse54
