OBJECTID,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,NAICS_SECT,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
54,Marcus North Shore Cinema,N Port Washington Rd,Mequon,Wisconsin,WI,53092,3420,51213101,"51213101, 72241003",783201,"783201, 581303","Theatres-Movie, Cocktail Lounges",,,Marcus Theatres Corporation,High,Information,Branch,40000 - 99999,40000.0,99999.0,21.0,1031000.0,Data Axle,9faab566260f11818cb60722883832ab,"Marcus North Shore Cinema, Mequon, Wisconsin",43.23091500000001,-87.92165799999998,1758493540260,Synapse54,1758493540260,Synapse54
55,Marcus Oshkosh Cinema,S Koeller St,Oshkosh,Wisconsin,WI,54902,5546,51213101,51213101,783201,783201,Theatres-Movie,,,Marcus Theatres Corporation,High,Information,Branch,100000+,100000.0,,55.0,3482000.0,Data Axle,ed2409ee763f78fb8da2c55fdb86ebf1,"Marcus Oshkosh Cinema, Oshkosh, Wisconsin",44.01574,-88.58107300000002,1758493540260,Synapse54,1758493540260,Synapse54
56,Marcus Palace Cinema,Hoepker Rd,Sun Prairie,Wisconsin,WI,53590,9334,51213101,"51213101, 72241003",783201,"783201, 581303","Theatres-Movie, Cocktail Lounges",,,Marcus Theatres Corporation,High,Information,Branch,40000 - 99999,40000.0,99999.0,15.0,904000.0,Data Axle,81cfc0f13431e92e63c342ef48215d04,"Marcus Palace Cinema, Sun Prairie, Wisconsin",43.16981899999998,-89.272591,1758493540260,Synapse54,1758493540260,Synapse54
57,Marcus Point Cinema,Big Sky Dr,Madison,Wisconsin,WI,53719,4957,51213101,"51213101, 72241003",783201,"783201, 581303","Theatres-Movie, Cocktail Lounges",,,Marcus Theatres Corporation,High,Information,Branch,40000 - 99999,40000.0,99999.0,17.0,1024000.0,Data Axle,4b12b589e9dc6644c80a665a60cc8cb4,"Marcus Point Cinema, Madison, Wisconsin",43.057741999999976,-89.518958,1758493540260,Synapse54,1758493540260,Synapse54
58,Marcus Renaissance Cinema,Washington Ave,Sturtevant,Wisconsin,WI,53177,1646,51213101,"51213101, 72241003",783201,"783201, 581303","Theatres-Movie, Cocktail Lounges",,,Marcus Theatres Corporation,High,Information,Branch,40000 - 99999,40000.0,99999.0,16.0,811000.0,Data Axle,ab452ab52149dab382d0e75685ecfd34,"Marcus Renaissance Cinema, Sturtevant, Wisconsin",42.71741899999998,-87.912497,1758493540260,Synapse54,1758493540260,Synapse54
59,Marcus Ridge Cinema,S Moorland Rd,New Berlin,Wisconsin,WI,53151,7924,51213101,51213101,783201,783201,Theatres-Movie,,,Marcus Theatres Corporation,High,Information,Branch,40000 - 99999,40000.0,99999.0,19.0,,Data Axle,470cfe49dcf1851a47c27f77b610e8a7,"Marcus Ridge Cinema, New Berlin, Wisconsin",42.94946100000001,-88.106282,1758493540260,Synapse54,1758493540260,Synapse54
60,Marcus Saukville Cinema,S Riverside Dr,Saukville,Wisconsin,WI,53080,2043,51213101,51213101,783201,783201,Theatres-Movie,,,Marcus Theatres Corporation,High,Information,Branch,40000 - 99999,40000.0,99999.0,14.0,933000.0,Data Axle,c1b0baa881e6501b701157ea356cf4f6,"Marcus Saukville Cinema, Saukville, Wisconsin",43.376567999999985,-87.92764,1758493540260,Synapse54,1758493540260,Synapse54
61,Marcus Sheboygan Cinema,Kohler Memorial Dr,Sheboygan,Wisconsin,WI,53081,3694,51213101,51213101,783201,783201,Theatres-Movie,,,Marcus Theatres Corporation,High,Information,Branch,100000+,100000.0,,47.0,2273000.0,Data Axle,210d501fb970733f3d677332cf5b541d,"Marcus Sheboygan Cinema, Sheboygan, Wisconsin",43.75751799999997,-87.751312,1758493540260,Synapse54,1758493540260,Synapse54
62,Marcus Showtime Cinema,S 102nd St,Franklin,Wisconsin,WI,53132,7703,51213101,51213101,783201,783201,Theatres-Movie,,,Marcus Theatres Corporation,High,Information,Branch,40000 - 99999,40000.0,99999.0,28.0,1592000.0,Data Axle,7a410232a52044e8d720576164747416,"Marcus Showtime Cinema, Franklin, Wisconsin",42.88303200000001,-88.04119,1758493540260,Synapse54,1758493540260,Synapse54
63,Marcus South Shore Cinema,S 13 Th St,Oak Creek,Wisconsin,WI,53154,1816,51213101,"51213101, 72241003",783201,"783201, 581303","Theatres-Movie, Cocktail Lounges",,,Marcus Theatres Corporation,High,Information,Branch,40000 - 99999,40000.0,99999.0,21.0,,Data Axle,64f43e69112b8cf0ef8b1dc8d4b0d7c2,"Marcus South Shore Cinema, Oak Creek, Wisconsin",42.91306,-87.93218099999999,1758493540260,Synapse54,1758493540260,Synapse54
