OBJECTID,admin4_name,admin3_name,admin2_name,id,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
767,45053 (Okeana),Butler County,Ohio,862a9352fffffff,172,20.8,20.8,58923750.00390625,28600.791479305968,1758492351220,Synapse54,1758492351220,Synapse54
768,46390 (Wanatah),LaPorte County,Indiana,862664af7ffffff,232,19.71,19.71,64502500.00390625,29918.602902804196,1758492351220,Synapse54,1758492351220,Synapse54
769,47513 (Birdseye),Dubois County,Indiana,862668c9fffffff,86,20.0,20.0,55481250.0,27764.296808458963,1758492351220,Synapse54,1758492351220,Synapse54
770,46941 (Lagro),Wabash County,Indiana,862665b0fffffff,51,19.17,19.17,62904999.99609375,29545.490362819408,1758492351220,Synapse54,1758492351220,Synapse54
771,47355 (Lynn),Randolph County,Indiana,862a92bafffffff,80,21.98,21.98,60863750.00390625,29066.428521720416,1758492351220,Synapse54,1758492351220,Synapse54
772,47175 (Taswell),Crawford County,Indiana,862668cafffffff,48,16.9,16.9,55605000.0,27787.916999092504,1758492351220,Synapse54,1758492351220,Synapse54
773,46740 (Geneva),Adams County,Indiana,862a962b7ffffff,551,28.43,28.43,62752500.0,29513.056850757373,1758492351220,Synapse54,1758492351220,Synapse54
774,46947 (Logansport),Cass County,Indiana,862665007ffffff,3376,23.3,23.3,62415000.0,29434.06447840124,1758492351220,Synapse54,1758492351220,Synapse54
775,47118 (English),Crawford County,Indiana,862668cc7ffffff,45,20.0,20.0,55398750.0,27741.35912227175,1758492351220,Synapse54,1758492351220,Synapse54
776,47597 (Wheatland),Knox County,Indiana,86266e777ffffff,89,23.0,23.0,56220000.00390625,27943.464998403833,1758492351220,Synapse54,1758492351220,Synapse54
777,47174 (Sulphur),Crawford County,Indiana,862668ccfffffff,64,22.07,22.07,55357499.99609375,27729.44543672458,1758492351220,Synapse54,1758492351220,Synapse54
778,47172 (Sellersburg),Clark County,Indiana,862668977ffffff,692,22.2,22.2,55709999.9921875,27820.28273039903,1758492351220,Synapse54,1758492351220,Synapse54
779,47960 (Monticello),White County,Indiana,862665467ffffff,74,23.79,23.79,62660000.0078125,29489.416697112498,1758492351220,Synapse54,1758492351220,Synapse54
780,46992 (Wabash),Wabash County,Indiana,862665b17ffffff,102,20.73,20.73,63119999.99609375,29598.82727735561,1758492351220,Synapse54,1758492351220,Synapse54
