OBJECTID,admin4_name,admin3_name,admin2_name,id,BABYBOOMCY,BABYBOOMCY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
3417,61349 (Ohio),Bureau County,Illinois,8626665a7ffffff,29,23.77,23.77,64046250.00390625,29814.683912745702,1758492504859,Synapse54,1758492504859,Synapse54
3418,61928 (Gays),Moultrie County,Illinois,86266344fffffff,104,30.23,30.23,58423749.99609375,28484.765331149574,1758492504859,Synapse54,1758492504859,Synapse54
3419,61356 (Princeton),Bureau County,Illinois,8626665afffffff,33,27.97,27.97,64537500.00390625,29930.12459414262,1758492504859,Synapse54,1758492504859,Synapse54
3420,61951 (Sullivan),Moultrie County,Illinois,862663457ffffff,117,23.98,23.98,58597500.0,28522.172154125765,1758492504859,Synapse54,1758492504859,Synapse54
3421,61349 (Ohio),Bureau County,Illinois,8626665b7ffffff,131,23.69,23.69,64413750.00390625,29899.981516809657,1758492504859,Synapse54,1758492504859,Synapse54
3422,60560 (Yorkville),Kendall County,Illinois,862666807ffffff,2528,16.7,16.7,64837500.0,29991.726036798675,1758492504859,Synapse54,1758492504859,Synapse54
3423,60560 (Yorkville),Kendall County,Illinois,86266680fffffff,701,15.9,15.9,64981250.0,30028.311862006878,1758492504859,Synapse54,1758492504859,Synapse54
3424,60545 (Plano),Kendall County,Illinois,862666817ffffff,1799,13.88,13.88,64837500.00390625,29991.726036798675,1758492504859,Synapse54,1758492504859,Synapse54
3425,60560 (Yorkville),Kendall County,Illinois,86266681fffffff,489,18.31,18.31,64787500.0,29982.906491839596,1758492504859,Synapse54,1758492504859,Synapse54
3426,61957 (Windsor),Moultrie County,Illinois,86266345fffffff,50,29.24,29.24,58241249.99609375,28438.831261948733,1758492504859,Synapse54,1758492504859,Synapse54
3427,61951 (Sullivan),Moultrie County,Illinois,862663467ffffff,55,22.92,22.92,58781250.00390625,28567.867259435785,1758492504859,Synapse54,1758492504859,Synapse54
3428,60560 (Yorkville),Kendall County,Illinois,862666827ffffff,3147,11.16,11.16,65058750.00390625,30043.59477249883,1758492504859,Synapse54,1758492504859,Synapse54
3429,61938 (Mattoon),Coles County,Illinois,86266346fffffff,42,21.65,21.65,58423750.00390625,28484.765331149574,1758492504859,Synapse54,1758492504859,Synapse54
3430,60543 (Oswego),Kendall County,Illinois,86266682fffffff,1566,15.2,15.2,65107500.00390625,30059.016220835234,1758492504859,Synapse54,1758492504859,Synapse54
3431,61951 (Sullivan),Moultrie County,Illinois,862663477ffffff,552,20.64,20.64,58386249.9921875,28475.147544368476,1758492504859,Synapse54,1758492504859,Synapse54
3432,60512 (Bristol),Kendall County,Illinois,862666837ffffff,247,9.66,9.66,65202499.99609375,30080.453391177405,1758492504859,Synapse54,1758492504859,Synapse54
3433,62550 (Moweaqua),Shelby County,Illinois,862663487ffffff,20,30.3,30.3,58376250.00390625,28476.008418929698,1758492504859,Synapse54,1758492504859,Synapse54
3434,60447 (Minooka),Kendall County,Illinois,862666847ffffff,1332,8.74,8.74,64381250.0,29887.37165013246,1758492504859,Synapse54,1758492504859,Synapse54
3435,61914 (Bethany),Shelby County,Illinois,86266348fffffff,22,30.99,30.99,58520000.00390625,28502.766594844354,1758492504859,Synapse54,1758492504859,Synapse54
3436,60447 (Minooka),Kendall County,Illinois,86266684fffffff,883,16.21,16.21,64035000.0,29809.01324480444,1758492504859,Synapse54,1758492504859,Synapse54
3437,62550 (Moweaqua),Shelby County,Illinois,862663497ffffff,28,28.28,28.28,58582500.0,28518.982837759388,1758492504859,Synapse54,1758492504859,Synapse54
3438,60560 (Yorkville),Kendall County,Illinois,862666857ffffff,97,18.83,18.83,64616250.0078125,29944.026878125704,1758492504859,Synapse54,1758492504859,Synapse54
3439,61914 (Bethany),Shelby County,Illinois,86266349fffffff,24,30.38,30.38,58703750.00390625,28549.82091895595,1758492504859,Synapse54,1758492504859,Synapse54
3440,60447 (Minooka),Kendall County,Illinois,86266685fffffff,31,11.03,11.03,64743749.9921875,29974.686124780754,1758492504859,Synapse54,1758492504859,Synapse54
3441,62550 (Moweaqua),Shelby County,Illinois,8626634a7ffffff,13,29.55,29.55,59007500.0078125,28626.049943137194,1758492504859,Synapse54,1758492504859,Synapse54
3442,60544 (Plainfield),Will County,Illinois,862666867ffffff,2224,12.13,12.13,64601250.0,29938.544789349708,1758492504859,Synapse54,1758492504859,Synapse54
3443,61914 (Bethany),Moultrie County,Illinois,8626634afffffff,16,27.59,27.59,58582499.99609375,28526.429991932462,1758492504859,Synapse54,1758492504859,Synapse54
3444,60404 (Shorewood),Will County,Illinois,86266686fffffff,6482,15.95,15.95,64743750.0078125,29974.686124780754,1758492504859,Synapse54,1758492504859,Synapse54
3445,61925 (Dalton City),Macon County,Illinois,8626634b7ffffff,16,29.09,29.09,58703750.00390625,28549.82091895595,1758492504859,Synapse54,1758492504859,Synapse54
3446,60560 (Yorkville),Kendall County,Illinois,862666877ffffff,80,17.66,17.66,64743749.9921875,29974.686124780754,1758492504859,Synapse54,1758492504859,Synapse54
3447,62534 (Findlay),Shelby County,Illinois,8626634c7ffffff,161,25.93,25.93,58308749.99609375,28455.69881968967,1758492504859,Synapse54,1758492504859,Synapse54
3448,60548 (Sandwich),LaSalle County,Illinois,862666887ffffff,2158,23.96,23.96,64787500.0078125,29987.16629321339,1758492504859,Synapse54,1758492504859,Synapse54
3449,62534 (Findlay),Shelby County,Illinois,8626634cfffffff,48,26.23,26.23,58149999.99609375,28417.286807201384,1758492504859,Synapse54,1758492504859,Synapse54
3450,60551 (Sheridan),LaSalle County,Illinois,86266688fffffff,232,20.12,20.12,64492500.0,29914.799405367416,1758492504859,Synapse54,1758492504859,Synapse54
3451,62565 (Shelbyville),Shelby County,Illinois,8626634d7ffffff,15,26.79,26.79,58519999.9921875,28502.766594844354,1758492504859,Synapse54,1758492504859,Synapse54
3452,60531 (Leland),DeKalb County,Illinois,862666897ffffff,166,20.91,20.91,64977499.99609375,30025.415694276424,1758492504859,Synapse54,1758492504859,Synapse54
3453,60531 (Leland),LaSalle County,Illinois,86266689fffffff,242,21.92,21.92,64661249.99609375,29956.461934385035,1758492504859,Synapse54,1758492504859,Synapse54
3454,62534 (Findlay),Shelby County,Illinois,8626634dfffffff,86,27.22,27.22,58168750.0078125,28419.386406685986,1758492504859,Synapse54,1758492504859,Synapse54
3455,60548 (Sandwich),Kendall County,Illinois,8626668a7ffffff,1033,20.48,20.48,65076250.0,30049.56646322529,1758492504859,Synapse54,1758492504859,Synapse54
3456,60541 (Newark),Kendall County,Illinois,8626668afffffff,170,22.31,22.31,64882499.99609375,30004.161093058006,1758492504859,Synapse54,1758492504859,Synapse54
3457,61951 (Sullivan),Moultrie County,Illinois,8626634e7ffffff,77,26.19,26.19,58582500.00390625,28526.429991932462,1758492504859,Synapse54,1758492504859,Synapse54
3458,60548 (Sandwich),DeKalb County,Illinois,8626668b7ffffff,48,24.62,24.62,64787500.0,29987.16629321339,1758492504859,Synapse54,1758492504859,Synapse54
3459,61957 (Windsor),Shelby County,Illinois,8626634efffffff,25,26.32,26.32,58482500.0078125,28495.592871171073,1758492504859,Synapse54,1758492504859,Synapse54
3460,60541 (Newark),Kendall County,Illinois,8626668c7ffffff,42,19.18,19.18,64618750.0078125,29945.281615111377,1758492504859,Synapse54,1758492504859,Synapse54
3461,62534 (Findlay),Shelby County,Illinois,8626634f7ffffff,70,27.24,27.24,58241249.9921875,28438.831261948733,1758492504859,Synapse54,1758492504859,Synapse54
3462,60450 (Morris),Kendall County,Illinois,8626668cfffffff,105,20.71,20.71,64202499.9921875,29850.852810733148,1758492504859,Synapse54,1758492504859,Synapse54
3463,61937 (Lovington),Moultrie County,Illinois,862663507ffffff,30,23.81,23.81,59337500.01171875,28702.54145332976,1758492504859,Synapse54,1758492504859,Synapse54
3464,60541 (Newark),Kendall County,Illinois,8626668d7ffffff,246,20.87,20.87,64686249.99609375,29960.38734465846,1758492504859,Synapse54,1758492504859,Synapse54
3465,61937 (Lovington),Moultrie County,Illinois,86266350fffffff,101,22.6,22.6,59031249.9921875,28626.058378932623,1758492504859,Synapse54,1758492504859,Synapse54
3466,60541 (Newark),Kendall County,Illinois,8626668dfffffff,36,17.22,17.22,64177500.00390625,29845.66860856494,1758492504859,Synapse54,1758492504859,Synapse54
