OBJECTID,DESCRIPTION,ID,P5YTENRENT,P5YTENRENT_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
328,"J3Y (Saint-Hubert, QC)",J3Y,7603,26.01,26.01,101336037.0,100201.13539228243,1753799933059,Synapse54,1753799933059,Synapse54
329,"J3Z (Saint-Hubert, QC)",J3Z,444,21.81,21.81,22454206.0,63608.93575532092,1753799933059,Synapse54,1753799933059,Synapse54
330,"J4B (Boucherville, QC)",J4B,3238,18.25,18.25,170076124.5,59886.44585342009,1753799933059,Synapse54,1753799933059,Synapse54
331,"J4G (Longueuil, QC)",J4G,2587,49.31,49.31,25356829.5,23719.52752698455,1753799933059,Synapse54,1753799933059,Synapse54
332,"J4H (Longueuil, QC)",J4H,5588,64.7,64.7,11650935.0,15524.513087115087,1753799933059,Synapse54,1753799933059,Synapse54
333,"J4J (Longueuil, QC)",J4J,10987,69.15,69.15,15351226.5,21930.353895068798,1753799933059,Synapse54,1753799933059,Synapse54
334,"J4K (Longueuil, QC)",J4K,9739,69.2,69.2,12801059.0,20426.997549827258,1753799933059,Synapse54,1753799933059,Synapse54
335,"J4L (Longueuil, QC)",J4L,9253,61.53,61.53,14765810.5,16776.5326873664,1753799933059,Synapse54,1753799933059,Synapse54
336,"J4M (Longueuil, QC)",J4M,970,18.08,18.08,10545973.0,20915.15150342213,1753799933059,Synapse54,1753799933059,Synapse54
337,"J4N (Longueuil, QC)",J4N,1811,32.74,32.74,9982414.5,18319.159231838094,1753799933059,Synapse54,1753799933059,Synapse54
338,"J4P (Longueuil, QC)",J4P,3268,54.05,54.05,6998059.0,12458.778436344583,1753799933059,Synapse54,1753799933059,Synapse54
339,"J4R (Longueuil, QC)",J4R,2669,51.41,51.41,5607448.0,11472.375668491168,1753799933059,Synapse54,1753799933059,Synapse54
340,"J4S (Longueuil, QC)",J4S,1129,35.73,35.73,4293595.5,10044.635885759557,1753799933059,Synapse54,1753799933059,Synapse54
341,"J4T (Saint-Hubert, QC)",J4T,5790,61.33,61.33,8655769.0,12531.329908587128,1753799933059,Synapse54,1753799933059,Synapse54
342,"J4V (Longueuil, QC)",J4V,3164,40.82,40.82,9874770.0,19495.60469716676,1753799933059,Synapse54,1753799933059,Synapse54
343,"J4W (Longueuil, QC)",J4W,2707,36.32,36.32,11512935.0,16336.628676963564,1753799933059,Synapse54,1753799933059,Synapse54
344,"J4X (Longueuil, QC)",J4X,2136,26.0,26.0,13216489.5,15198.092586417742,1753799933059,Synapse54,1753799933059,Synapse54
345,"J4Y (Longueuil, QC)",J4Y,3191,28.9,28.9,21259495.5,19670.691530096043,1753799933059,Synapse54,1753799933059,Synapse54
346,"J4Z (Longueuil, QC)",J4Z,5813,44.39,44.39,42442433.5,36399.19983850107,1753799933059,Synapse54,1753799933059,Synapse54
347,"J5A (Saint-Constant, QC)",J5A,3797,28.5,28.5,123489244.5,53706.37543156535,1753799933059,Synapse54,1753799933059,Synapse54
348,"J5B (Delson, QC)",J5B,1239,35.58,35.58,13765665.5,25868.554957637258,1753799933059,Synapse54,1753799933059,Synapse54
349,"J5C (Sainte-Catherine, QC)",J5C,2139,29.12,29.12,20056189.5,22328.89425891819,1753799933059,Synapse54,1753799933059,Synapse54
350,"J5J (Sainte-Sophie, QC)",J5J,2081,23.88,23.88,230905181.0,66651.47964912902,1753799933059,Synapse54,1753799933059,Synapse54
351,"J5K (Saint-Colomban, QC)",J5K,1137,14.58,14.58,193780426.5,69823.6154247918,1753799933059,Synapse54,1753799933059,Synapse54
352,"J5L (Saint-Jerome, QC)",J5L,3165,29.65,29.65,95796285.0,58040.91698594175,1753799933059,Synapse54,1753799933059,Synapse54
353,"J5M (Saint-Lin-Laurentides, QC)",J5M,3701,32.22,32.22,245439917.0,79215.19535436288,1753799933059,Synapse54,1753799933059,Synapse54
354,"J5N (Saint-Lin-Laurentides, QC)",J5N,2507,36.95,36.95,190530835.0,58815.89393433861,1753799933059,Synapse54,1753799933059,Synapse54
355,"J5R (La Prairie, QC)",J5R,6136,27.17,27.17,116490762.5,83791.09209902641,1753799933059,Synapse54,1753799933059,Synapse54
356,"J5T (Lavaltrie, QC)",J5T,1793,26.85,26.85,154486438.5,59411.55582605956,1753799933059,Synapse54,1753799933059,Synapse54
357,"J5V (Louiseville, QC)",J5V,2066,54.96,54.96,506748881.0,179854.3461791025,1753799933059,Synapse54,1753799933059,Synapse54
358,"J5W (L'assomption, QC)",J5W,3063,26.42,26.42,332828346.5,103350.78663938354,1753799933059,Synapse54,1753799933059,Synapse54
359,"J5X (L'epiphanie, QC)",J5X,1334,35.28,35.28,93137482.5,61537.5779427655,1753799933059,Synapse54,1753799933059,Synapse54
360,"J5Y (Repentigny, QC)",J5Y,2281,19.46,19.46,22356230.5,21230.469901767003,1753799933059,Synapse54,1753799933059,Synapse54
361,"J5Z (Repentigny, QC)",J5Z,3669,29.64,29.64,78014581.0,40720.846170485005,1753799933059,Synapse54,1753799933059,Synapse54
362,"J6A (Repentigny, QC)",J6A,4647,30.39,30.39,48655375.5,39943.850012514275,1753799933059,Synapse54,1753799933059,Synapse54
363,"J6E (Joliette, QC)",J6E,13562,56.53,56.53,137214208.0,95275.2587794035,1753799933059,Synapse54,1753799933059,Synapse54
364,"J6J (Chateauguay, QC)",J6J,4048,36.71,36.71,74217052.0,72123.22068999698,1753799933059,Synapse54,1753799933059,Synapse54
365,"J6K (Chateauguay, QC)",J6K,2760,25.56,25.56,20188406.0,28536.15419577854,1753799933059,Synapse54,1753799933059,Synapse54
366,"J6N (Beauharnois, QC)",J6N,3014,36.72,36.72,233462281.0,99024.33793574793,1753799933059,Synapse54,1753799933059,Synapse54
367,"J6R (Mercier, QC)",J6R,1430,22.94,22.94,115347180.0,49311.90260299979,1753799933059,Synapse54,1753799933059,Synapse54
368,"J6S (Salaberry-De-Valleyfield, QC)",J6S,5770,43.44,43.44,210261044.5,73467.37727321035,1753799933059,Synapse54,1753799933059,Synapse54
