OBJECTID,DESCRIPTION,ID,ECYMTN1524,ECYMTN1524_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
308,"J2N (Farnham, QC)",J2N,218,4.36,4.36,187541869.5,67299.99265741695,1753800849569,Synapse54,1753800849569,Synapse54
309,"J2R (Saint-Hyacinthe, QC)",J2R,71,1.65,1.65,202913088.0,104737.13437793839,1753800849569,Synapse54,1753800849569,Synapse54
310,"J2S (Saint-Hyacinthe, QC)",J2S,909,5.93,5.93,64473264.0,73386.10579135851,1753800849569,Synapse54,1753800849569,Synapse54
311,"J2T (Saint-Hyacinthe, QC)",J2T,215,2.63,2.63,91771688.0,53456.23963708392,1753800849569,Synapse54,1753800849569,Synapse54
312,"J2W (Saint-Jean-Sur-Richelieu, QC)",J2W,107,0.91,0.91,103463004.5,59571.138073747235,1753800849569,Synapse54,1753800849569,Synapse54
313,"J2X (Saint-Jean-Sur-Richelieu, QC)",J2X,211,2.35,2.35,145676986.0,80102.73759580929,1753800849569,Synapse54,1753800849569,Synapse54
314,"J2Y (Saint-Jean-Sur-Richelieu, QC)",J2Y,0,0.0,0.0,146400386.17578125,73826.30271667863,1753800849569,Synapse54,1753800849569,Synapse54
315,"J3A (Saint-Jean-Sur-Richelieu, QC)",J3A,182,3.5,3.5,6186209.0,11188.578319190965,1753800849569,Synapse54,1753800849569,Synapse54
316,"J3B (Saint-Jean-Sur-Richelieu, QC)",J3B,616,3.79,3.79,95704303.5,54381.46319865555,1753800849569,Synapse54,1753800849569,Synapse54
317,"J3E (Sainte-Julie, QC)",J3E,138,1.14,1.14,105827610.5,60902.63170645707,1753800849569,Synapse54,1753800849569,Synapse54
318,"J3G (Beloeil, QC)",J3G,252,1.69,1.69,171490984.5,98109.63892656052,1753800849569,Synapse54,1753800849569,Synapse54
319,"J3H (Beloeil, QC)",J3H,117,1.05,1.05,80996367.5,55540.40786090735,1753800849569,Synapse54,1753800849569,Synapse54
320,"J3L (Chambly, QC)",J3L,335,1.49,1.49,364093398.0,124754.83820581688,1753800849569,Synapse54,1753800849569,Synapse54
321,"J3M (Marieville, QC)",J3M,133,2.71,2.71,126097256.5,55752.50302456562,1753800849569,Synapse54,1753800849569,Synapse54
