OBJECTID,DESCRIPTION,ID,P5YTENHHD,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
257,"H9K (Pierrefonds, QC)",H9K,3420,3420,30500131.5,26824.382930325875,1753799558460,Synapse54,1753799558460,Synapse54
258,"H9P (Pointe-Claire-Dorval, QC)",H9P,1607,1607,19498535.0,39692.170261991225,1753799558460,Synapse54,1753799558460,Synapse54
259,"H9R (Pointe-Claire-Dorval, QC)",H9R,11158,11158,29882299.5,25305.84671237734,1753799558460,Synapse54,1753799558460,Synapse54
260,"H9S (Pointe-Claire-Dorval, QC)",H9S,11253,11253,78965867.0,44171.880466646624,1753799558460,Synapse54,1753799558460,Synapse54
261,"H9W (Beaconsfield, QC)",H9W,7188,7188,43852698.0,28888.96518701168,1753799558460,Synapse54,1753799558460,Synapse54
262,"H9X (Sainte-Anne-De-Bellevue, QC)",H9X,4000,4000,73291956.5,35517.603411509444,1753799558460,Synapse54,1753799558460,Synapse54
263,"J0A (Warwick, QC)",J0A,8607,8607,2834357143.0,359358.8229727042,1753799558460,Synapse54,1753799558460,Synapse54
264,"J0B (Richmond, QC)",J0B,30392,30392,10667378133.5,1065896.4278918828,1753799558460,Synapse54,1753799558460,Synapse54
265,"J0C (Saint-Germain-De-Grantham, QC)",J0C,10255,10255,2217789273.0,543899.6487326861,1753799558460,Synapse54,1753799558460,Synapse54
266,"J0E (Waterloo, QC)",J0E,27052,27052,4549634499.230469,648394.7017630582,1753799558460,Synapse54,1753799558460,Synapse54
267,"J0G (Saint-Francois-Du-Lac, QC)",J0G,8574,8574,2514787680.5,333340.5205009883,1753799558460,Synapse54,1753799558460,Synapse54
268,"J0H (Acton Vale, QC)",J0H,23301,23301,4017334345.9570312,538883.6400762808,1753799558460,Synapse54,1753799558460,Synapse54
269,"J0J (Napierville, QC)",J0J,19016,19016,3163504441.4609375,385870.6950955986,1753799558460,Synapse54,1753799558460,Synapse54
270,"J0K (Rawdon, QC)",J0K,78791,78791,29697039721.0,1406950.3334880418,1753799558460,Synapse54,1753799558460,Synapse54
271,"J0L (Saint-Amable, QC)",J0L,40936,40936,2780902762.0429688,596544.2844540038,1753799558460,Synapse54,1753799558460,Synapse54
272,"J0M (Chisasibi, QC)",J0M,7364,7364,2507274503756.0,24396187.397056405,1753799558460,Synapse54,1753799558460,Synapse54
273,"J0N (Sainte-Marthe-Sur-Le-Lac, QC)",J0N,16416,16416,341790001.0,92049.64421828423,1753799558460,Synapse54,1753799558460,Synapse54
274,"J0P (Saint-Zotique, QC)",J0P,19675,19675,1320873265.0,299819.56036801497,1753799558460,Synapse54,1753799558460,Synapse54
275,"J0R (Saint-Sauveur, QC)",J0R,20705,20705,549507968.0,153164.86554496005,1753799558460,Synapse54,1753799558460,Synapse54
276,"J0S (Sainte-Martine, QC)",J0S,17113,17113,3261392891.5,373681.8522427627,1753799558460,Synapse54,1753799558460,Synapse54
277,"J0T (Saint-Donat-De-Montcalm, QC)",J0T,30094,30094,10294024616.5,948593.2698027412,1753799558460,Synapse54,1753799558460,Synapse54
278,"J0V (Saint-Andre-Avellin, QC)",J0V,14132,14132,5169637352.5,604696.2148960141,1753799558460,Synapse54,1753799558460,Synapse54
279,"J0W (Lac-Des-Ecorces, QC)",J0W,8897,8897,72760667284.5,2116484.49890364,1753799558460,Synapse54,1753799558460,Synapse54
280,"J0X (Wakefield, QC)",J0X,22890,22890,18401542242.5,1302599.5812032141,1753799558460,Synapse54,1753799558460,Synapse54
281,"J0Y (Malartic, QC)",J0Y,11493,11493,223534310999.0,3278730.6722274064,1753799558460,Synapse54,1753799558460,Synapse54
282,"J0Z (Lorrainville, QC)",J0Z,15002,15002,59867601510.0,2216439.0400546975,1753799558460,Synapse54,1753799558460,Synapse54
283,"J1A (Coaticook, QC)",J1A,4372,4372,568143726.5,138682.11350637994,1753799558460,Synapse54,1753799558460,Synapse54
284,"J1C (Sherbrooke, QC)",J1C,3007,3007,148314795.5,58854.95341782354,1753799558460,Synapse54,1753799558460,Synapse54
285,"J1E (Sherbrooke, QC)",J1E,13987,13987,36392307.5,31305.785200373433,1753799558460,Synapse54,1753799558460,Synapse54
286,"J1G (Sherbrooke, QC)",J1G,9908,9908,23722537.5,26568.26494121696,1753799558460,Synapse54,1753799558460,Synapse54
287,"J1H (Sherbrooke, QC)",J1H,18042,18042,90156997.5,95524.0591322304,1753799558460,Synapse54,1753799558460,Synapse54
288,"J1J (Sherbrooke, QC)",J1J,8118,8118,14850239.5,21529.415696903085,1753799558460,Synapse54,1753799558460,Synapse54
289,"J1K (Sherbrooke, QC)",J1K,3896,3896,14646372.0,20632.820225363073,1753799558460,Synapse54,1753799558460,Synapse54
290,"J1L (Sherbrooke, QC)",J1L,8598,8598,27073074.0,24825.97616578884,1753799558460,Synapse54,1753799558460,Synapse54
