OBJECTID,DESCRIPTION,ID,P5YHNIAGG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
25,"G1H (Quebec, QC)",G1H,1637119117.99,1637119117.99,17070653.5,16728.070206687444,1753801689447,Synapse54,1753801689447,Synapse54
26,"G1J (Quebec, QC)",G1J,1217468123.46,1217468123.46,15486417.5,18318.282612942763,1753801689447,Synapse54,1753801689447,Synapse54
27,"G1K (Quebec, QC)",G1K,1084192999.71,1084192999.71,9532326.5,27604.32226056824,1753801689447,Synapse54,1753801689447,Synapse54
28,"G1L (Quebec, QC)",G1L,1187334440.26,1187334440.26,8545974.0,13500.51656374446,1753801689447,Synapse54,1753801689447,Synapse54
29,"G1M (Quebec, QC)",G1M,1201898331.13,1201898331.13,17720734.5,19033.029965482125,1753801689447,Synapse54,1753801689447,Synapse54
30,"G1N (Quebec, QC)",G1N,500192843.3,500192843.3,13120575.0,20830.816804197915,1753801689447,Synapse54,1753801689447,Synapse54
31,"G1P (Quebec, QC)",G1P,870160103.45,870160103.45,23560383.5,22665.24353657779,1753801689447,Synapse54,1753801689447,Synapse54
32,"G1R (Quebec, QC)",G1R,1155934180.68,1155934180.68,6291861.0,12661.880571938687,1753801689447,Synapse54,1753801689447,Synapse54
33,"G1S (Quebec, QC)",G1S,2041554939.8,2041554939.8,11216915.28125,15661.567182113036,1753801689447,Synapse54,1753801689447,Synapse54
34,"G1T (Quebec, QC)",G1T,679655258.11,679655258.11,7077771.5,17602.81541790566,1753801689447,Synapse54,1753801689447,Synapse54
35,"G1V (Quebec, QC)",G1V,1302729581.25,1302729581.25,15730102.0,17979.112647239195,1753801689447,Synapse54,1753801689447,Synapse54
36,"G1W (Quebec, QC)",G1W,1773680204.18,1773680204.18,17198639.5,21801.94208985731,1753801689447,Synapse54,1753801689447,Synapse54
37,"G1X (Quebec, QC)",G1X,1904497191.78,1904497191.78,27103326.0,27337.079999136095,1753801689447,Synapse54,1753801689447,Synapse54
38,"G1Y (Quebec, QC)",G1Y,1082472867.65,1082472867.65,14262450.5,17939.63034370007,1753801689447,Synapse54,1753801689447,Synapse54
39,"G2A (Quebec, QC)",G2A,1172189211.02,1172189211.02,47271562.5,46123.605864486206,1753801689447,Synapse54,1753801689447,Synapse54
40,"G2B (Quebec, QC)",G2B,1496238856.0,1496238856.0,24328924.5,22475.77399457994,1753801689447,Synapse54,1753801689447,Synapse54
41,"G2C (Quebec, QC)",G2C,878610434.4,878610434.4,18432837.5,23131.360190110616,1753801689447,Synapse54,1753801689447,Synapse54
42,"G2E (Quebec, QC)",G2E,1357175227.22,1357175227.22,27707972.5,23903.30796073271,1753801689447,Synapse54,1753801689447,Synapse54
43,"G2G (Quebec, QC)",G2G,711143340.08,711143340.08,101799470.5,45275.85044604026,1753801689447,Synapse54,1753801689447,Synapse54
44,"G2J (Quebec, QC)",G2J,200336063.69,200336063.69,5412144.5,9862.14108739791,1753801689447,Synapse54,1753801689447,Synapse54
45,"G2K (Quebec, QC)",G2K,1049092501.57,1049092501.57,30349819.5,31745.12588440936,1753801689447,Synapse54,1753801689447,Synapse54
46,"G2L (Quebec, QC)",G2L,1011355698.34,1011355698.34,25127554.5,22805.966601331882,1753801689447,Synapse54,1753801689447,Synapse54
47,"G2M (Quebec, QC)",G2M,422450396.24,422450396.24,44779584.0,34604.08492657024,1753801689447,Synapse54,1753801689447,Synapse54
48,"G2N (Quebec, QC)",G2N,519014774.56,519014774.56,31035228.5,31796.238354131285,1753801689447,Synapse54,1753801689447,Synapse54
49,"G3A (St-Augustin-De-Desmaures, QC)",G3A,1729393231.91,1729393231.91,188876871.0,74472.4753726992,1753801689447,Synapse54,1753801689447,Synapse54
50,"G3B (Lac-Beauport, QC)",G3B,794099642.51,794099642.51,139197319.5,64423.23371099803,1753801689447,Synapse54,1753801689447,Synapse54
51,"G3C (Stoneham-Et-Tewkesbury, QC)",G3C,839976290.89,839976290.89,1330849498.5,175874.56931808186,1753801689447,Synapse54,1753801689447,Synapse54
52,"G3E (Quebec, QC)",G3E,994029593.53,994029593.53,18489209.0,20620.301807363456,1753801689447,Synapse54,1753801689447,Synapse54
53,"G3G (Quebec, QC)",G3G,605986796.09,605986796.09,83002473.0,53192.861834286385,1753801689447,Synapse54,1753801689447,Synapse54
54,"G3H (Pont-Rouge, QC)",G3H,648445571.82,648445571.82,279179695.0,100842.62742278028,1753801689447,Synapse54,1753801689447,Synapse54
55,"G3J (Quebec, QC)",G3J,640408873.03,640408873.03,85589532.0,54640.87343863765,1753801689447,Synapse54,1753801689447,Synapse54
56,"G3K (Quebec, QC)",G3K,1365229924.85,1365229924.85,66926850.0,43417.9629367511,1753801689447,Synapse54,1753801689447,Synapse54
57,"G3L (Saint-Raymond, QC)",G3L,644065265.22,644065265.22,2499240685.5,293711.66523440205,1753801689447,Synapse54,1753801689447,Synapse54
58,"G3M (Donnacona, QC)",G3M,420123974.8,420123974.8,76895468.5,38932.06578942634,1753801689447,Synapse54,1753801689447,Synapse54
59,"G3N (Ste-Catherine-De-La-J-Cartier, QC)",G3N,822803435.46,822803435.46,179093818.5,91193.27748891739,1753801689447,Synapse54,1753801689447,Synapse54
60,"G3S (Quebec, QC)",G3S,521759593.59,521759593.59,162242772.5,88360.35793053103,1753801689447,Synapse54,1753801689447,Synapse54
