OBJECTID,DESCRIPTION,ID,P5YHRIAGG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
31,"G1P (Quebec, QC)",G1P,679778111.11,679778111.11,23560383.5,22665.24353657779,1753802168379,Synapse54,1753802168379,Synapse54
32,"G1R (Quebec, QC)",G1R,903027788.61,903027788.61,6291861.0,12661.880571938687,1753802168379,Synapse54,1753802168379,Synapse54
33,"G1S (Quebec, QC)",G1S,1594883924.51,1594883924.51,11216915.28125,15661.567182113036,1753802168379,Synapse54,1753802168379,Synapse54
34,"G1T (Quebec, QC)",G1T,530953747.17,530953747.17,7077771.5,17602.81541790566,1753802168379,Synapse54,1753802168379,Synapse54
35,"G1V (Quebec, QC)",G1V,1017705880.29,1017705880.29,15730102.0,17979.112647239195,1753802168379,Synapse54,1753802168379,Synapse54
36,"G1W (Quebec, QC)",G1W,1385617398.66,1385617398.66,17198639.5,21801.94208985731,1753802168379,Synapse54,1753802168379,Synapse54
37,"G1X (Quebec, QC)",G1X,1487812988.18,1487812988.18,27103326.0,27337.079999136095,1753802168379,Synapse54,1753802168379,Synapse54
38,"G1Y (Quebec, QC)",G1Y,845639047.8,845639047.8,14262450.5,17939.63034370007,1753802168379,Synapse54,1753802168379,Synapse54
39,"G2A (Quebec, QC)",G2A,915726387.14,915726387.14,47271562.5,46123.605864486206,1753802168379,Synapse54,1753802168379,Synapse54
40,"G2B (Quebec, QC)",G2B,1168877335.69,1168877335.69,24328924.5,22475.77399457994,1753802168379,Synapse54,1753802168379,Synapse54
41,"G2C (Quebec, QC)",G2C,686379597.45,686379597.45,18432837.5,23131.360190110616,1753802168379,Synapse54,1753802168379,Synapse54
42,"G2E (Quebec, QC)",G2E,1060239384.46,1060239384.46,27707972.5,23903.30796073271,1753802168379,Synapse54,1753802168379,Synapse54
43,"G2G (Quebec, QC)",G2G,555552563.9,555552563.9,101799470.5,45275.85044604026,1753802168379,Synapse54,1753802168379,Synapse54
44,"G2J (Quebec, QC)",G2J,156504613.84,156504613.84,5412144.5,9862.14108739791,1753802168379,Synapse54,1753802168379,Synapse54
45,"G2K (Quebec, QC)",G2K,819561959.1,819561959.1,30349819.5,31745.12588440936,1753802168379,Synapse54,1753802168379,Synapse54
46,"G2L (Quebec, QC)",G2L,790081576.48,790081576.48,25127554.5,22805.966601331882,1753802168379,Synapse54,1753802168379,Synapse54
47,"G2M (Quebec, QC)",G2M,330022637.51,330022637.51,44779584.0,34604.08492657024,1753802168379,Synapse54,1753802168379,Synapse54
48,"G2N (Quebec, QC)",G2N,405459732.89,405459732.89,31035228.5,31796.238354131285,1753802168379,Synapse54,1753802168379,Synapse54
49,"G3A (St-Augustin-De-Desmaures, QC)",G3A,1351019955.95,1351019955.95,188876871.0,74472.4753726992,1753802168379,Synapse54,1753802168379,Synapse54
50,"G3B (Lac-Beauport, QC)",G3B,620358889.0,620358889.0,139197319.5,64423.23371099803,1753802168379,Synapse54,1753802168379,Synapse54
51,"G3C (Stoneham-Et-Tewkesbury, QC)",G3C,656198203.24,656198203.24,1330849498.5,175874.56931808186,1753802168379,Synapse54,1753802168379,Synapse54
52,"G3E (Quebec, QC)",G3E,776546243.39,776546243.39,18489209.0,20620.301807363456,1753802168379,Synapse54,1753802168379,Synapse54
53,"G3G (Quebec, QC)",G3G,473403179.5,473403179.5,83002473.0,53192.861834286385,1753802168379,Synapse54,1753802168379,Synapse54
54,"G3H (Pont-Rouge, QC)",G3H,506572416.1,506572416.1,279179695.0,100842.62742278028,1753802168379,Synapse54,1753802168379,Synapse54
55,"G3J (Quebec, QC)",G3J,500294063.51,500294063.51,85589532.0,54640.87343863765,1753802168379,Synapse54,1753802168379,Synapse54
56,"G3K (Quebec, QC)",G3K,1066531797.87,1066531797.87,66926850.0,43417.9629367511,1753802168379,Synapse54,1753802168379,Synapse54
57,"G3L (Saint-Raymond, QC)",G3L,503150475.06,503150475.06,2499240685.5,293711.66523440205,1753802168379,Synapse54,1753802168379,Synapse54
58,"G3M (Donnacona, QC)",G3M,328205212.94,328205212.94,76895468.5,38932.06578942634,1753802168379,Synapse54,1753802168379,Synapse54
59,"G3N (Ste-Catherine-De-La-J-Cartier, QC)",G3N,642782590.23,642782590.23,179093818.5,91193.27748891739,1753802168379,Synapse54,1753802168379,Synapse54
60,"G3S (Quebec, QC)",G3S,407604014.0,407604014.0,162242772.5,88360.35793053103,1753802168379,Synapse54,1753802168379,Synapse54
61,"G3Z (Baie-Saint-Paul, QC)",G3Z,303813201.57,303813201.57,1221045873.0,165284.53951195258,1753802168379,Synapse54,1753802168379,Synapse54
62,"G4A (Clermont, QC)",G4A,126119992.35,126119992.35,1226794529.0,167560.43929327332,1753802168379,Synapse54,1753802168379,Synapse54
63,"G4R (Sept-Iles, QC)",G4R,942497990.03,942497990.03,1888740693.0195312,364416.3918226564,1753802168379,Synapse54,1753802168379,Synapse54
64,"G4S (Sept-Iles, QC)",G4S,228564762.05,228564762.05,13736729.5,31952.335224803264,1753802168379,Synapse54,1753802168379,Synapse54
65,"G4T (Les Iles-De-La-Madeleine, QC)",G4T,628140226.98,628140226.98,500054815.0,511013.5871236407,1753802168379,Synapse54,1753802168379,Synapse54
66,"G4V (Sainte-Anne-Des-Monts, QC)",G4V,230839255.84,230839255.84,780273522.0,168670.12216022852,1753802168379,Synapse54,1753802168379,Synapse54
67,"G4W (Matane, QC)",G4W,552919610.77,552919610.77,466220652.0,100520.51806568402,1753802168379,Synapse54,1753802168379,Synapse54
68,"G4X (Gaspe, QC)",G4X,636136511.18,636136511.18,2615126201.546875,406673.89112098655,1753802168379,Synapse54,1753802168379,Synapse54
69,"G4Z (Baie-Comeau, QC)",G4Z,429004360.75,429004360.75,1669244051.0,336717.80497552885,1753802168379,Synapse54,1753802168379,Synapse54
70,"G5A (La Malbaie, QC)",G5A,322717808.75,322717808.75,905867526.5,176911.55690727945,1753802168379,Synapse54,1753802168379,Synapse54
71,"G5B (Port-Cartier, QC)",G5B,297467227.73,297467227.73,742256392.5,203831.72178845698,1753802168379,Synapse54,1753802168379,Synapse54
72,"G5C (Baie-Comeau, QC)",G5C,493320209.83,493320209.83,78061848.0,48691.63220890317,1753802168379,Synapse54,1753802168379,Synapse54
73,"G5H (Mont-Joli, QC)",G5H,245420600.35,245420600.35,128376656.5,53923.191144203476,1753802168379,Synapse54,1753802168379,Synapse54
74,"G5J (Amqui, QC)",G5J,234467168.39,234467168.39,310530648.5,97437.56642828621,1753802168379,Synapse54,1753802168379,Synapse54
75,"G5L (Rimouski, QC)",G5L,1159841506.29,1159841506.29,115966883.0,88926.49071239203,1753802168379,Synapse54,1753802168379,Synapse54
76,"G5M (Rimouski, QC)",G5M,417595612.76,417595612.76,66332097.0,52169.63739391678,1753802168379,Synapse54,1753802168379,Synapse54
77,"G5N (Rimouski, QC)",G5N,386402171.9,386402171.9,414167429.0,104413.83144964176,1753802168379,Synapse54,1753802168379,Synapse54
78,"G5R (Riviere-Du-Loup, QC)",G5R,878428400.48,878428400.48,182737573.0,77061.18159356514,1753802168379,Synapse54,1753802168379,Synapse54
79,"G5T (Degelis, QC)",G5T,104813428.44,104813428.44,1107888892.0,146757.59518407704,1753802168379,Synapse54,1753802168379,Synapse54
80,"G5V (Montmagny, QC)",G5V,422009846.15,422009846.15,282245095.0,82682.88684580137,1753802168379,Synapse54,1753802168379,Synapse54
81,"G5X (Beauceville, QC)",G5X,240634882.63,240634882.63,336857190.0,91090.00846556539,1753802168379,Synapse54,1753802168379,Synapse54
82,"G5Y (Saint-Georges, QC)",G5Y,944739503.57,944739503.57,169548327.0,148240.89990521545,1753802168379,Synapse54,1753802168379,Synapse54
83,"G5Z (Saint-Georges, QC)",G5Z,335279048.98,335279048.98,219710089.0,133870.3845435117,1753802168379,Synapse54,1753802168379,Synapse54
84,"G6A (Saint-Georges, QC)",G6A,97703309.74,97703309.74,12731588.0,28099.846637013223,1753802168379,Synapse54,1753802168379,Synapse54
85,"G6B (Lac-Megantic, QC)",G6B,326979248.59,326979248.59,525968305.0,147830.6226949515,1753802168379,Synapse54,1753802168379,Synapse54
86,"G6C (Pintendre, QC)",G6C,401661248.42,401661248.42,171728656.5,62758.50767570228,1753802168379,Synapse54,1753802168379,Synapse54
87,"G6E (Sainte-Marie, QC)",G6E,582996573.72,582996573.72,242749292.5,88129.38426536831,1753802168379,Synapse54,1753802168379,Synapse54
88,"G6G (Thetford Mines, QC)",G6G,752086164.42,752086164.42,432553661.5,137866.85051543516,1753802168379,Synapse54,1753802168379,Synapse54
