OBJECTID,DESCRIPTION,ID,P5YHNIMED,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
258,"H9P (Pointe-Claire-Dorval, QC)",H9P,121116.78,121116.78,19498535.0,39692.170261991225,1753801593706,Synapse54,1753801593706,Synapse54
259,"H9R (Pointe-Claire-Dorval, QC)",H9R,127452.8,127452.8,29882299.5,25305.84671237734,1753801593706,Synapse54,1753801593706,Synapse54
260,"H9S (Pointe-Claire-Dorval, QC)",H9S,108513.02,108513.02,78965867.0,44171.880466646624,1753801593706,Synapse54,1753801593706,Synapse54
261,"H9W (Beaconsfield, QC)",H9W,202752.87,202752.87,43852698.0,28888.96518701168,1753801593706,Synapse54,1753801593706,Synapse54
262,"H9X (Sainte-Anne-De-Bellevue, QC)",H9X,149037.27,149037.27,73291956.5,35517.603411509444,1753801593706,Synapse54,1753801593706,Synapse54
263,"J0A (Warwick, QC)",J0A,89682.28,89682.28,2834357143.0,359358.8229727042,1753801593706,Synapse54,1753801593706,Synapse54
264,"J0B (Richmond, QC)",J0B,95412.94,95412.94,10667378133.5,1065896.4278918828,1753801593706,Synapse54,1753801593706,Synapse54
265,"J0C (Saint-Germain-De-Grantham, QC)",J0C,93217.53,93217.53,2217789273.0,543899.6487326861,1753801593706,Synapse54,1753801593706,Synapse54
266,"J0E (Waterloo, QC)",J0E,98298.85,98298.85,4549634499.230469,648394.7017630582,1753801593706,Synapse54,1753801593706,Synapse54
267,"J0G (Saint-Francois-Du-Lac, QC)",J0G,87694.75,87694.75,2514787680.5,333340.5205009883,1753801593706,Synapse54,1753801593706,Synapse54
268,"J0H (Acton Vale, QC)",J0H,96803.79,96803.79,4017334345.9570312,538883.6400762808,1753801593706,Synapse54,1753801593706,Synapse54
269,"J0J (Napierville, QC)",J0J,99923.06,99923.06,3163504441.4609375,385870.6950955986,1753801593706,Synapse54,1753801593706,Synapse54
270,"J0K (Rawdon, QC)",J0K,85395.9,85395.9,29697039721.0,1406950.3334880418,1753801593706,Synapse54,1753801593706,Synapse54
271,"J0L (Saint-Amable, QC)",J0L,112182.54,112182.54,2780902762.0429688,596544.2844540038,1753801593706,Synapse54,1753801593706,Synapse54
272,"J0M (Chisasibi, QC)",J0M,127139.74,127139.74,2507274503756.0,24396187.397056405,1753801593706,Synapse54,1753801593706,Synapse54
273,"J0N (Sainte-Marthe-Sur-Le-Lac, QC)",J0N,121797.96,121797.96,341790001.0,92049.64421828423,1753801593706,Synapse54,1753801593706,Synapse54
274,"J0P (Saint-Zotique, QC)",J0P,112719.42,112719.42,1320873265.0,299819.56036801497,1753801593706,Synapse54,1753801593706,Synapse54
275,"J0R (Saint-Sauveur, QC)",J0R,110867.22,110867.22,549507968.0,153164.86554496005,1753801593706,Synapse54,1753801593706,Synapse54
276,"J0S (Sainte-Martine, QC)",J0S,91563.1,91563.1,3261392891.5,373681.8522427627,1753801593706,Synapse54,1753801593706,Synapse54
277,"J0T (Saint-Donat-De-Montcalm, QC)",J0T,82618.87,82618.87,10294024616.5,948593.2698027412,1753801593706,Synapse54,1753801593706,Synapse54
278,"J0V (Saint-Andre-Avellin, QC)",J0V,82818.65,82818.65,5169637352.5,604696.2148960141,1753801593706,Synapse54,1753801593706,Synapse54
279,"J0W (Lac-Des-Ecorces, QC)",J0W,74349.07,74349.07,72760667284.5,2116484.49890364,1753801593706,Synapse54,1753801593706,Synapse54
280,"J0X (Wakefield, QC)",J0X,92129.91,92129.91,18401542242.5,1302599.5812032141,1753801593706,Synapse54,1753801593706,Synapse54
281,"J0Y (Malartic, QC)",J0Y,102037.51,102037.51,223534310999.0,3278730.6722274064,1753801593706,Synapse54,1753801593706,Synapse54
282,"J0Z (Lorrainville, QC)",J0Z,92331.21,92331.21,59867601510.0,2216439.0400546975,1753801593706,Synapse54,1753801593706,Synapse54
283,"J1A (Coaticook, QC)",J1A,79281.32,79281.32,568143726.5,138682.11350637994,1753801593706,Synapse54,1753801593706,Synapse54
