OBJECTID,DESCRIPTION,ID,HSTE001,HSTE001_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
304,"J2J (Granby, QC)",J2J,783313606.92,86277.52,86277.52,158975426.5,75483.31166212616,1753809572619,Synapse54,1753809572619,Synapse54
305,"J2K (Cowansville, QC)",J2K,758361015.24,82935.37,82935.37,327067186.0,107161.13325887192,1753809572619,Synapse54,1753809572619,Synapse54
306,"J2L (Bromont, QC)",J2L,1056967549.01,178240.73,178240.73,230068726.0,81624.30958657779,1753809572619,Synapse54,1753809572619,Synapse54
307,"J2M (Shefford, QC)",J2M,385130578.74,122731.22,122731.22,242332781.2734375,116121.4987637872,1753809572619,Synapse54,1753809572619,Synapse54
308,"J2N (Farnham, QC)",J2N,433795365.32,86724.38,86724.38,187541869.5,67299.99265741695,1753809572619,Synapse54,1753809572619,Synapse54
309,"J2R (Saint-Hyacinthe, QC)",J2R,433678810.69,100528.24,100528.24,202913088.0,104737.13437793839,1753809572619,Synapse54,1753809572619,Synapse54
310,"J2S (Saint-Hyacinthe, QC)",J2S,1152200025.64,75169.63,75169.63,64473264.0,73386.10579135851,1753809572619,Synapse54,1753809572619,Synapse54
311,"J2T (Saint-Hyacinthe, QC)",J2T,742114550.45,90934.27,90934.27,91771688.0,53456.23963708392,1753809572619,Synapse54,1753809572619,Synapse54
312,"J2W (Saint-Jean-Sur-Richelieu, QC)",J2W,1548277159.36,131076.63,131076.63,103463004.5,59571.138073747235,1753809572619,Synapse54,1753809572619,Synapse54
313,"J2X (Saint-Jean-Sur-Richelieu, QC)",J2X,955400637.28,106629.54,106629.54,145676986.0,80102.73759580929,1753809572619,Synapse54,1753809572619,Synapse54
314,"J2Y (Saint-Jean-Sur-Richelieu, QC)",J2Y,278612191.26,120977.94,120977.94,146400386.17578125,73826.30271667863,1753809572619,Synapse54,1753809572619,Synapse54
315,"J3A (Saint-Jean-Sur-Richelieu, QC)",J3A,326867804.29,62774.69,62774.69,6186209.0,11188.578319190965,1753809572619,Synapse54,1753809572619,Synapse54
316,"J3B (Saint-Jean-Sur-Richelieu, QC)",J3B,1440899500.0,88730.8,88730.8,95704303.5,54381.46319865555,1753809572619,Synapse54,1753809572619,Synapse54
317,"J3E (Sainte-Julie, QC)",J3E,1698439806.59,139766.28,139766.28,105827610.5,60902.63170645707,1753809572619,Synapse54,1753809572619,Synapse54
318,"J3G (Beloeil, QC)",J3G,1730122450.15,116061.08,116061.08,171490984.5,98109.63892656052,1753809572619,Synapse54,1753809572619,Synapse54
319,"J3H (Beloeil, QC)",J3H,1585238289.03,141817.7,141817.7,80996367.5,55540.40786090735,1753809572619,Synapse54,1753809572619,Synapse54
320,"J3L (Chambly, QC)",J3L,3014169954.13,134225.59,134225.59,364093398.0,124754.83820581688,1753809572619,Synapse54,1753809572619,Synapse54
321,"J3M (Marieville, QC)",J3M,493262143.11,100440.27,100440.27,126097256.5,55752.50302456562,1753809572619,Synapse54,1753809572619,Synapse54
322,"J3N (St-Basile-Le-Grand, QC)",J3N,951594753.79,140851.8,140851.8,74736126.0,37659.20099111866,1753809572619,Synapse54,1753809572619,Synapse54
323,"J3P (Sorel-Tracy, QC)",J3P,1060872188.57,83290.59,83290.59,211886795.0,80652.39762505802,1753809572619,Synapse54,1753809572619,Synapse54
324,"J3R (Sorel-Tracy, QC)",J3R,633596471.34,85679.04,85679.04,57862738.0,40488.46821105956,1753809572619,Synapse54,1753809572619,Synapse54
325,"J3T (Nicolet, QC)",J3T,333431205.91,85913.74,85913.74,271606732.5,71484.12258274788,1753809572619,Synapse54,1753809572619,Synapse54
326,"J3V (Saint-Bruno, QC)",J3V,1777938760.58,165374.27,165374.27,90158805.5,51396.92313356961,1753809572619,Synapse54,1753809572619,Synapse54
